date,hAbv,hScore,hW,hL,vAbv,vScore,vW,vL,tW,tL,season
2000-10-31,NYK,72,0,0,PHI,101,0,0,0,0,200
2000-10-31,CLE,86,0,0,NJN,82,0,0,0,0,200
2000-10-31,WAS,86,0,0,ORL,97,0,0,0,0,200
2000-10-31,ATL,82,0,0,CHH,106,0,0,0,0,200
2000-10-31,TOR,95,0,0,DET,104,0,0,0,0,200
2000-10-31,CHI,81,0,0,SAC,100,0,0,0,0,200
2000-10-31,DAL,97,0,0,MIL,93,0,0,0,0,200
2000-10-31,HOU,98,0,0,MIN,106,0,0,0,0,200
2000-10-31,SAS,98,0,0,IND,85,0,0,0,0,200
2000-10-31,LAC,94,0,0,UTA,107,0,0,0,0,200
2000-10-31,PHX,94,0,0,GSW,96,0,0,0,0,200
2000-10-31,LAL,96,0,0,POR,86,0,0,0,0,200
2000-10-31,VAN,94,0,0,SEA,88,0,0,0,0,200
2000-11-01,BOS,103,0,0,DET,83,0,0,0,0,200
2000-11-01,PHI,104,0,0,TOR,98,0,0,0,0,200
2000-11-01,MIA,105,0,0,ORL,79,0,0,0,0,200
2000-11-01,WAS,95,0,0,CHH,77,0,0,0,0,200
2000-11-01,CLE,102,0,0,SAC,100,0,0,0,0,200
2000-11-01,LAL,92,0,0,UTA,97,0,0,0,0,200
2000-11-01,DEN,99,0,0,SEA,112,0,0,0,0,200
2000-11-02,ATL,69,0,0,NYK,94,0,0,0,0,200
2000-11-02,DAL,94,0,0,IND,88,0,0,0,0,200
2000-11-02,HOU,115,0,0,MIL,93,0,0,0,0,200
2000-11-02,SAS,103,0,0,MIN,91,0,0,0,0,200
2000-11-02,DEN,101,0,0,GSW,97,0,0,0,0,200
2000-11-02,PHX,108,0,0,POR,82,0,0,0,0,200
2000-11-02,VAN,99,0,0,LAC,91,0,0,0,0,200
2000-11-03,BOS,93,0,0,TOR,91,0,0,0,0,200
2000-11-03,WAS,76,0,0,NYK,80,0,0,0,0,200
2000-11-03,ORL,80,0,0,PHI,87,0,0,0,0,200
2000-11-03,MIA,79,0,0,CHH,83,0,0,0,0,200
2000-11-03,SAC,100,0,0,DET,93,0,0,0,0,200
2000-11-03,CHI,82,0,0,NJN,92,0,0,0,0,200
2000-11-04,NJN,87,0,0,CHH,98,0,0,0,0,200
2000-11-04,MIA,82,0,0,PHI,84,0,0,0,0,200
2000-11-04,ATL,104,0,0,ORL,107,0,0,0,0,200
2000-11-04,WAS,96,0,0,TOR,103,0,0,0,0,200
2000-11-04,BOS,89,0,0,CLE,91,0,0,0,0,200
2000-11-04,CHI,81,0,0,IND,94,0,0,0,0,200
2000-11-04,MIL,97,0,0,DET,88,0,0,0,0,200
2000-11-04,SAC,91,0,0,MIN,99,0,0,0,0,200
2000-11-04,DAL,106,0,0,UTA,112,0,0,0,0,200
2000-11-04,DEN,99,0,0,PHX,102,0,0,0,0,200
2000-11-04,HOU,74,0,0,LAC,77,0,0,0,0,200
2000-11-04,SAS,117,0,0,GSW,105,0,0,0,0,200
2000-11-04,POR,97,0,0,SEA,90,0,0,0,0,200
2000-11-04,VAN,89,0,0,LAL,98,0,0,0,0,200
2000-11-05,HOU,99,0,0,PHX,104,0,0,0,0,200
2000-11-05,LAC,103,0,0,LAL,108,0,0,0,0,200
2000-11-06,ORL,110,0,0,SEA,99,0,0,0,0,200
2000-11-06,DEN,96,0,0,DAL,108,0,0,0,0,200
2000-11-06,MIN,92,0,0,UTA,98,0,0,0,0,200
2000-11-06,POR,75,0,0,SAC,79,0,0,0,0,200
2000-11-06,ATL,87,0,0,VAN,97,0,0,0,0,200
2000-11-07,BOS,75,0,0,TOR,105,0,0,0,0,200
2000-11-07,WAS,88,0,0,CHI,83,0,0,0,0,200
2000-11-07,MIL,89,0,0,NYK,103,0,0,0,0,200
2000-11-07,HOU,84,0,0,LAL,74,0,0,0,0,200
2000-11-07,PHX,100,0,0,SAS,81,0,0,0,0,200
2000-11-07,ATL,88,0,0,POR,97,0,0,0,0,200
2000-11-08,CLE,99,0,0,NYK,97,0,0,0,0,200
2000-11-08,PHI,103,0,0,DET,94,0,0,0,0,200
2000-11-08,WAS,86,0,0,NJN,102,0,0,0,0,200
2000-11-08,ORL,90,0,0,CHH,96,0,0,0,0,200
2000-11-08,MIA,87,0,0,SEA,81,0,0,0,0,200
2000-11-08,MIL,97,0,0,IND,108,0,0,0,0,200
2000-11-08,VAN,101,0,0,DAL,74,0,0,0,0,200
2000-11-08,LAL,81,0,0,SAS,91,0,0,0,0,200
2000-11-08,DEN,109,0,0,MIN,107,0,0,0,0,200
2000-11-08,LAC,87,0,0,UTA,93,0,0,0,0,200
2000-11-08,SAC,115,0,0,GSW,84,0,0,0,0,200
2000-11-09,DET,108,0,0,NJN,94,0,0,0,0,200
2000-11-09,SEA,102,0,0,CHH,94,0,0,0,0,200
2000-11-09,CHI,95,0,0,ORL,90,0,0,0,0,200
2000-11-09,PHI,84,0,0,MIN,82,0,0,0,0,200
2000-11-09,VAN,78,0,0,HOU,85,0,0,0,0,200
2000-11-09,ATL,79,0,0,PHX,88,0,0,0,0,200
2000-11-09,DEN,91,0,0,POR,107,0,0,0,0,200
2000-11-10,BOS,101,0,0,NYK,103,0,0,0,0,200
2000-11-10,WAS,74,0,0,IND,86,0,0,0,0,200
2000-11-10,CLE,88,0,0,TOR,115,0,0,0,0,200
2000-11-10,DAL,79,0,0,SAS,77,0,0,0,0,200
2000-11-10,MIA,87,0,0,UTA,80,0,0,0,0,200
2000-11-10,ATL,106,0,0,LAC,115,0,0,0,0,200
2000-11-10,SAC,114,0,0,GSW,107,0,0,0,0,200
2000-11-11,NYK,81,0,0,CHH,67,0,0,0,0,200
2000-11-11,SEA,91,0,0,NJN,126,0,0,0,0,200
2000-11-11,BOS,83,0,0,PHI,85,0,0,0,0,200
2000-11-11,CLE,86,0,0,WAS,73,0,0,0,0,200
2000-11-11,DET,84,0,0,IND,94,0,0,0,0,200
2000-11-11,CHI,75,0,0,TOR,98,0,0,0,0,200
2000-11-11,MIL,92,0,0,MIN,103,0,0,0,0,200
2000-11-11,VAN,78,0,0,SAS,91,0,0,0,0,200
2000-11-11,MIA,82,0,0,PHX,84,0,0,0,0,200
2000-11-11,HOU,88,0,0,POR,111,0,0,0,0,200
2000-11-12,SEA,92,0,0,DET,101,0,0,0,0,200
2000-11-12,DEN,95,0,0,LAC,79,0,0,0,0,200
2000-11-12,HOU,99,0,0,LAL,105,0,0,0,0,200
2000-11-12,ORL,105,0,0,GSW,99,0,0,0,0,200
2000-11-12,DAL,84,0,0,SAC,109,0,0,0,0,200
2000-11-13,POR,94,0,0,NJN,82,0,0,0,0,200
2000-11-13,DAL,90,0,0,LAC,76,0,0,0,0,200
2000-11-14,MIA,89,0,0,CHH,86,0,0,0,0,200
2000-11-14,ATL,99,0,0,POR,97,0,0,0,0,200
2000-11-14,CLE,96,0,0,GSW,86,0,0,0,0,200
2000-11-14,CHI,83,0,0,HOU,110,0,0,0,0,200
2000-11-14,SAS,86,0,0,UTA,79,0,0,0,0,200
2000-11-14,DEN,103,0,0,LAL,119,0,0,0,0,200
2000-11-14,ORL,82,0,0,SAC,96,0,0,0,0,200
2000-11-14,NYK,75,0,0,SEA,96,0,0,0,0,200
2000-11-15,BOS,116,0,0,WAS,109,0,0,0,0,200
2000-11-15,MIA,91,0,0,NJN,93,0,0,0,0,200
2000-11-15,CLE,98,0,0,PHI,107,0,0,0,0,200
2000-11-15,DET,88,0,0,IND,92,0,0,0,0,200
2000-11-15,ATL,74,0,0,MIL,84,0,0,0,0,200
2000-11-15,MIN,92,0,0,GSW,90,0,0,0,0,200
2000-11-15,DAL,78,0,0,PHX,99,0,0,0,0,200
2000-11-15,LAC,78,0,0,NYK,74,0,0,0,0,200
2000-11-16,WAS,95,0,0,SAS,99,0,0,0,0,200
2000-11-16,POR,86,0,0,TOR,80,0,0,0,0,200
2000-11-16,HOU,84,0,0,CHH,80,0,0,0,0,200
2000-11-16,DEN,89,0,0,CHI,85,0,0,0,0,200
2000-11-16,ORL,84,0,0,UTA,99,0,0,0,0,200
2000-11-16,LAL,112,0,0,SAC,110,0,0,0,0,200
2000-11-16,VAN,72,0,0,LAC,76,0,0,0,0,200
2000-11-17,ATL,99,0,0,BOS,106,0,0,0,0,200
2000-11-17,MIA,73,0,0,PHI,94,0,0,0,0,200
2000-11-17,DET,96,0,0,CHH,89,0,0,0,0,200
2000-11-17,IND,90,0,0,GSW,92,0,0,0,0,200
2000-11-17,CLE,76,0,0,MIL,89,0,0,0,0,200
2000-11-17,SAS,94,0,0,MIN,99,0,0,0,0,200
2000-11-17,NYK,90,0,0,PHX,85,0,0,0,0,200
2000-11-17,DAL,99,0,0,SEA,95,0,0,0,0,200
2000-11-18,NJN,97,0,0,IND,92,0,0,0,0,200
2000-11-18,BOS,89,0,0,WAS,109,0,0,0,0,200
2000-11-18,MIA,86,0,0,POR,80,0,0,0,0,200
2000-11-18,ATL,84,0,0,MIN,94,0,0,0,0,200
2000-11-18,MIL,102,0,0,TOR,111,0,0,0,0,200
2000-11-18,HOU,94,0,0,PHX,89,0,0,0,0,200
2000-11-18,DEN,87,0,0,LAL,86,0,0,0,0,200
2000-11-18,CHI,64,0,0,UTA,109,0,0,0,0,200
2000-11-18,LAC,83,0,0,SEA,86,0,0,0,0,200
2000-11-18,VAN,88,0,0,DAL,91,0,0,0,0,200
2000-11-19,NYK,88,0,0,GSW,71,0,0,0,0,200
2000-11-19,ORL,102,0,0,POR,110,0,0,0,0,200
2000-11-19,DET,96,0,0,CHH,105,0,0,0,0,200
2000-11-19,CHI,96,0,0,LAL,104,0,0,0,0,200
2000-11-20,BOS,90,0,0,PHI,114,0,0,0,0,200
2000-11-20,TOR,64,0,0,CHH,100,0,0,0,0,200
2000-11-20,DAL,107,0,0,UTA,98,0,0,0,0,200
2000-11-20,LAC,85,0,0,NJN,86,0,0,0,0,200
2000-11-20,DEN,95,0,0,VAN,92,0,0,0,0,200
2000-11-21,WAS,94,0,0,POR,104,0,0,0,0,200
2000-11-21,NYK,85,0,0,ORL,84,0,0,0,0,200
2000-11-21,CLE,117,0,0,DET,98,0,0,0,0,200
2000-11-21,HOU,101,0,0,IND,89,0,0,0,0,200
2000-11-21,DAL,110,0,0,SEA,116,0,0,0,0,200
2000-11-21,CHI,77,0,0,GSW,89,0,0,0,0,200
2000-11-22,BOS,96,0,0,HOU,81,0,0,0,0,200
2000-11-22,CLE,86,0,0,MIA,67,0,0,0,0,200
2000-11-22,PHI,73,0,0,CHH,88,0,0,0,0,200
2000-11-22,ATL,78,0,0,NYK,74,0,0,0,0,200
2000-11-22,MIL,84,0,0,POR,93,0,0,0,0,200
2000-11-22,VAN,100,0,0,MIN,101,0,0,0,0,200
2000-11-22,SAS,112,0,0,SEA,85,0,0,0,0,200
2000-11-22,DEN,78,0,0,UTA,116,0,0,0,0,200
2000-11-22,PHX,97,0,0,NJN,85,0,0,0,0,200
2000-11-22,LAL,111,0,0,GSW,91,0,0,0,0,200
2000-11-22,CHI,71,0,0,SAC,100,0,0,0,0,200
2000-11-23,TOR,111,0,0,IND,91,0,0,0,0,200
2000-11-24,BOS,103,0,0,ORL,98,0,0,0,0,200
2000-11-24,ATL,67,0,0,PHI,76,0,0,0,0,200
2000-11-24,CLE,85,0,0,MIA,80,0,0,0,0,200
2000-11-24,VAN,96,0,0,DET,118,0,0,0,0,200
2000-11-24,WAS,87,0,0,IND,99,0,0,0,0,200
2000-11-24,MIL,90,0,0,CHH,106,0,0,0,0,200
2000-11-24,DEN,102,0,0,SAS,92,0,0,0,0,200
2000-11-24,NJN,85,0,0,UTA,97,0,0,0,0,200
2000-11-24,PHX,80,0,0,GSW,74,0,0,0,0,200
2000-11-24,LAL,115,0,0,MIN,108,0,0,0,0,200
2000-11-24,LAC,81,0,0,SEA,98,0,0,0,0,200
2000-11-25,NYK,75,0,0,TOR,79,0,0,0,0,200
2000-11-25,WAS,107,0,0,MIL,100,0,0,0,0,200
2000-11-25,ATL,92,0,0,ORL,114,0,0,0,0,200
