Team_ID	Game_ID	GAME_DATE	MATCHUP	WL	matchup	isFinals	year	rank
1610610025	0044600415	APR 22, 1947	CHS @ PHW	L	CHS PHW	true	1946-47	0
1610610025	0044600414	APR 20, 1947	CHS vs. PHW	W	CHS PHW	true	1946-47	0
1610610025	0044600413	APR 19, 1947	CHS vs. PHW	L	CHS PHW	true	1946-47	0
1610610025	0044600412	APR 17, 1947	CHS @ PHW	L	CHS PHW	true	1946-47	0
1610610025	0044600411	APR 16, 1947	CHS @ PHW	L	CHS PHW	true	1946-47	0
1610610025	0044600226	APR 13, 1947	CHS vs. WAS	W	CHS WAS	true	1946-47	1
1610610025	0044600225	APR 12, 1947	CHS vs. WAS	L	CHS WAS	true	1946-47	1
1610610025	0044600224	APR 10, 1947	CHS @ WAS	L	CHS WAS	true	1946-47	1
1610610025	0044600223	APR 08, 1947	CHS vs. WAS	W	CHS WAS	true	1946-47	1
1610610025	0044600222	APR 03, 1947	CHS @ WAS	W	CHS WAS	true	1946-47	1
1610610025	0044600221	APR 02, 1947	CHS @ WAS	W	CHS WAS	true	1946-47	1
1610610026	0044601023	APR 09, 1947	CLR @ NYK	L	CLR NYK	false	1946-47	2
1610610026	0044601022	APR 05, 1947	CLR @ NYK	L	CLR NYK	false	1946-47	2
1610610026	0044601021	APR 02, 1947	CLR vs. NYK	W	CLR NYK	false	1946-47	2
1610610034	0044601013	APR 06, 1947	BOM vs. PHW	L	BOM PHW	false	1946-47	2
1610610034	0044601012	APR 05, 1947	BOM vs. PHW	W	BOM PHW	false	1946-47	2
1610610034	0044601011	APR 02, 1947	BOM @ PHW	L	BOM PHW	false	1946-47	2
1610610036	0044600226	APR 13, 1947	WAS @ CHS	L	CHS WAS	false	1946-47	1
1610610036	0044600225	APR 12, 1947	WAS @ CHS	W	CHS WAS	false	1946-47	1
1610610036	0044600224	APR 10, 1947	WAS vs. CHS	W	CHS WAS	false	1946-47	1
1610610036	0044600223	APR 08, 1947	WAS @ CHS	L	CHS WAS	false	1946-47	1
1610610036	0044600222	APR 03, 1947	WAS vs. CHS	L	CHS WAS	false	1946-47	1
1610610036	0044600221	APR 02, 1947	WAS vs. CHS	L	CHS WAS	false	1946-47	1
1610612744	0044600415	APR 22, 1947	PHW vs. CHS	W	CHS PHW	true	1946-47	0
1610612744	0044600414	APR 20, 1947	PHW @ CHS	L	CHS PHW	true	1946-47	0
1610612744	0044600413	APR 19, 1947	PHW @ CHS	W	CHS PHW	true	1946-47	0
1610612744	0044600412	APR 17, 1947	PHW vs. CHS	W	CHS PHW	true	1946-47	0
1610612744	0044600411	APR 16, 1947	PHW vs. CHS	W	CHS PHW	true	1946-47	0
1610612744	0044600212	APR 14, 1947	PHW @ NYK	W	NYK PHW	true	1946-47	1
1610612744	0044600211	APR 12, 1947	PHW vs. NYK	W	NYK PHW	true	1946-47	1
1610612744	0044601013	APR 06, 1947	PHW @ BOM	W	BOM PHW	true	1946-47	2
1610612744	0044601012	APR 05, 1947	PHW @ BOM	L	BOM PHW	true	1946-47	2
1610612744	0044601011	APR 02, 1947	PHW vs. BOM	W	BOM PHW	true	1946-47	2
1610612752	0044600212	APR 14, 1947	NYK vs. PHW	L	NYK PHW	false	1946-47	1
1610612752	0044600211	APR 12, 1947	NYK @ PHW	L	NYK PHW	false	1946-47	1
1610612752	0044601023	APR 09, 1947	NYK vs. CLR	W	CLR NYK	false	1946-47	2
1610612752	0044601022	APR 05, 1947	NYK vs. CLR	W	CLR NYK	false	1946-47	2
1610612752	0044601021	APR 02, 1947	NYK @ CLR	L	CLR NYK	false	1946-47	2
1610610024	0044700416	APR 21, 1948	BAL vs. PHW	W	BAL PHW	true	1947-48	0
1610610024	0044700415	APR 20, 1948	BAL @ PHW	L	BAL PHW	true	1947-48	0
1610610024	0044700414	APR 17, 1948	BAL vs. PHW	W	BAL PHW	true	1947-48	0
1610610024	0044700413	APR 15, 1948	BAL vs. PHW	W	BAL PHW	true	1947-48	0
1610610024	0044700412	APR 13, 1948	BAL @ PHW	W	BAL PHW	true	1947-48	0
1610610024	0044700411	APR 10, 1948	BAL @ PHW	L	BAL PHW	true	1947-48	0
1610610024	0044700222	APR 08, 1948	BAL vs. CHS	W	BAL CHS	true	1947-48	1
1610610024	0044700221	APR 07, 1948	BAL @ CHS	W	BAL CHS	true	1947-48	1
1610610024	0044701013	APR 01, 1948	BAL vs. NYK	W	BAL NYK	true	1947-48	2
1610610024	0044701012	MAR 28, 1948	BAL @ NYK	L	BAL NYK	true	1947-48	2
1610610024	0044701011	MAR 27, 1948	BAL vs. NYK	W	BAL NYK	true	1947-48	2
1610610025	0044700222	APR 08, 1948	CHS @ BAL	L	BAL CHS	false	1947-48	1
1610610025	0044700221	APR 07, 1948	CHS vs. BAL	L	BAL CHS	false	1947-48	1
1610610025	0044701023	APR 02, 1948	CHS @ BOS	W	BOS CHS	false	1947-48	2
1610610025	0044701022	MAR 31, 1948	CHS @ BOS	L	BOS CHS	false	1947-48	2
1610610025	0044701021	MAR 28, 1948	CHS @ BOS	W	BOS CHS	false	1947-48	2
1610610034	0044700217	APR 06, 1948	BOM vs. PHW	L	BOM PHW	false	1947-48	1
1610610034	0044700216	APR 03, 1948	BOM @ PHW	L	BOM PHW	false	1947-48	1
1610610034	0044700215	APR 01, 1948	BOM vs. PHW	W	BOM PHW	false	1947-48	1
1610610034	0044700214	MAR 30, 1948	BOM @ PHW	W	BOM PHW	false	1947-48	1
1610610034	0044700213	MAR 27, 1948	BOM @ PHW	L	BOM PHW	false	1947-48	1
1610610034	0044700212	MAR 25, 1948	BOM vs. PHW	L	BOM PHW	false	1947-48	1
1610610034	0044700211	MAR 23, 1948	BOM vs. PHW	W	BOM PHW	false	1947-48	1
1610612738	0044701023	APR 02, 1948	BOS vs. CHS	L	BOS CHS	false	1947-48	2
1610612738	0044701022	MAR 31, 1948	BOS vs. CHS	W	BOS CHS	false	1947-48	2
1610612738	0044701021	MAR 28, 1948	BOS vs. CHS	L	BOS CHS	false	1947-48	2
1610612744	0044700416	APR 21, 1948	PHW @ BAL	L	BAL PHW	true	1947-48	0
1610612744	0044700415	APR 20, 1948	PHW vs. BAL	W	BAL PHW	true	1947-48	0
1610612744	0044700414	APR 17, 1948	PHW @ BAL	L	BAL PHW	true	1947-48	0
1610612744	0044700413	APR 15, 1948	PHW @ BAL	L	BAL PHW	true	1947-48	0
1610612744	0044700412	APR 13, 1948	PHW vs. BAL	L	BAL PHW	true	1947-48	0
1610612744	0044700411	APR 10, 1948	PHW vs. BAL	W	BAL PHW	true	1947-48	0
1610612744	0044700217	APR 06, 1948	PHW @ BOM	W	BOM PHW	true	1947-48	1
1610612744	0044700216	APR 03, 1948	PHW vs. BOM	W	BOM PHW	true	1947-48	1
