year,name,show,network,rank
2010,Boston Globe Matthew Gilbert,Mad Men,AMC,1
2010,Boston Globe Matthew Gilbert,Breaking Bad,AMC,2
2010,Boston Globe Matthew Gilbert,Treme,HBO,3
2010,Boston Globe Matthew Gilbert,Modern Family,ABC,4
2010,Boston Globe Matthew Gilbert,The Good Wife,CBS,5
2010,Boston Globe Matthew Gilbert,In Treatment,HBO,7
2010,Boston Globe Matthew Gilbert,Friday Night Lights,DirecTV/NBC,9
2010,Boston Globe Matthew Gilbert,Justified,FX,10
2010,Cleveland Plain Dealer Mark Dawidziak,Mad Men,AMC,1
2010,Cleveland Plain Dealer Mark Dawidziak,True Blood,HBO,2
2010,Cleveland Plain Dealer Mark Dawidziak,Damages,FX,3
2010,Cleveland Plain Dealer Mark Dawidziak,Dexter,Showtime,4
2010,Cleveland Plain Dealer Mark Dawidziak,Modern Family,ABC,5
2010,Cleveland Plain Dealer Mark Dawidziak,Justified,FX,6
2010,Cleveland Plain Dealer Mark Dawidziak,Breaking Bad,AMC,7
2010,Cleveland Plain Dealer Mark Dawidziak,Treme,HBO,8
2010,Cleveland Plain Dealer Mark Dawidziak,Terriers,FX,9
2010,Cleveland Plain Dealer Mark Dawidziak,Boardwalk Empire,HBO,10
2010,The Daily Beast/Televisionary Jace Lacob,Mad Men,AMC,1
2010,The Daily Beast/Televisionary Jace Lacob,Community,NBC,2
2010,The Daily Beast/Televisionary Jace Lacob,Boardwalk Empire,HBO,3
2010,The Daily Beast/Televisionary Jace Lacob,Terriers,FX,4
2010,The Daily Beast/Televisionary Jace Lacob,Friday Night Lights,DirecTV/NBC,5
2010,The Daily Beast/Televisionary Jace Lacob,Parks and Recreation,NBC,6
2010,The Daily Beast/Televisionary Jace Lacob,Fringe,Fox,7
2010,The Daily Beast/Televisionary Jace Lacob,The Good Wife,CBS,8
2010,The Daily Beast/Televisionary Jace Lacob,Modern Family,ABC,9
2010,The Daily Beast/Televisionary Jace Lacob,Justified,FX,10
2010,Entertainment Weekly Ken Tucker,Breaking Bad,AMC,1
2010,Entertainment Weekly Ken Tucker,Fringe,Fox,2
2010,Entertainment Weekly Ken Tucker,The Good Wife,CBS,3
2010,Entertainment Weekly Ken Tucker,Parks and Recreation,NBC,5
2010,Entertainment Weekly Ken Tucker,30 Rock,NBC,7
2010,Entertainment Weekly Ken Tucker,Community,NBC,9
2010,Entertainment Weekly Ken Tucker,Mad Men,AMC,10
2010,HitFix Daniel Fienberg,Mad Men,AMC,1
2010,HitFix Daniel Fienberg,Breaking Bad,AMC,2
2010,HitFix Daniel Fienberg,The Pacific,HBO,3
2010,HitFix Daniel Fienberg,Terriers,FX,4
2010,HitFix Daniel Fienberg,Parks and Recreation,NBC,5
2010,HitFix Daniel Fienberg,Friday Night Lights,DirecTV/NBC,6
2010,HitFix Daniel Fienberg,Community,NBC,7
2010,HitFix Daniel Fienberg,Boardwalk Empire,HBO,8
2010,HitFix Daniel Fienberg,30 for 30,ESPN,9
2010,HitFix Daniel Fienberg,The Vampire Diaries,CW,10
2010,HitFix Alan Sepinwall,Breaking Bad,AMC,1
2010,HitFix Alan Sepinwall,Mad Men,AMC,2
2010,HitFix Alan Sepinwall,Terriers,FX,3
2010,HitFix Alan Sepinwall,Parks and Recreation,NBC,4
2010,HitFix Alan Sepinwall,Community,NBC,5
2010,HitFix Alan Sepinwall,The Pacific,HBO,6
2010,HitFix Alan Sepinwall,Louie,FX,7
2010,HitFix Alan Sepinwall,Boardwalk Empire,HBO,8
2010,HitFix Alan Sepinwall,Treme,HBO,9
2010,HitFix Alan Sepinwall,30 for 30,ESPN,10
2010,The Hollywood Reporter Tim Goodman,Breaking Bad,AMC,1
2010,The Hollywood Reporter Tim Goodman,Mad Men,AMC,2
2010,The Hollywood Reporter Tim Goodman,The Pacific,HBO,3
2010,The Hollywood Reporter Tim Goodman,Treme,HBO,4
2010,The Hollywood Reporter Tim Goodman,Lost,ABC,5
2010,The Hollywood Reporter Tim Goodman,The Inbetweeners,BBC America,6
2010,The Hollywood Reporter Tim Goodman,Boardwalk Empire,HBO,7
2010,The Hollywood Reporter Tim Goodman,Men of a Certain Age,TNT,8
2010,The Hollywood Reporter Tim Goodman,30 Rock,NBC,9
2010,The Hollywood Reporter Tim Goodman,Terriers,FX,10
2010,Houston Chronicle Therese Odell,Lost,ABC,1
2010,Houston Chronicle Therese Odell,Mad Men,AMC,2
2010,Houston Chronicle Therese Odell,Rubicon,AMC,3
2010,Houston Chronicle Therese Odell,Fringe,Fox,4
2010,Houston Chronicle Therese Odell,The Big C,Showtime,5
2010,Houston Chronicle Therese Odell,True Blood,HBO,6
2010,Houston Chronicle Therese Odell,30 Rock,NBC,7
2010,Houston Chronicle Therese Odell,Glee,Fox,8
2010,Houston Chronicle Therese Odell,Eastbound and Down,HBO,10
2010,Los Angeles Times Robert Lloyd,Terriers,FX,1
2010,Los Angeles Times Robert Lloyd,Rubicon,AMC,2
2010,Los Angeles Times Robert Lloyd,The Choir,BBC America,3
2010,Los Angeles Times Robert Lloyd,Treme,HBO,5
2010,Los Angeles Times Robert Lloyd,How to Make It in America,HBO,7
2010,Los Angeles Times Robert Lloyd,Adventure Time with Finn and Jake,Cartoon Network,8
2010,Los Angeles Times Robert Lloyd,Louie,FX,9
2010,Los Angeles Times Robert Lloyd,Doctor Who,BBC America,10
2010,Miami Herald Glenn Garvin,Dexter,Showtime,1
2010,Miami Herald Glenn Garvin,The Walking Dead,AMC,2
2010,Miami Herald Glenn Garvin,The Good Wife,CBS,3
2010,Miami Herald Glenn Garvin,Boardwalk Empire,HBO,4
2010,Miami Herald Glenn Garvin,The Pacific,HBO,5
2010,Movieline Christopher Rosen,Friday Night Lights,DirecTV/NBC,1
2010,Movieline Christopher Rosen,Mad Men,AMC,2
2010,Movieline Christopher Rosen,The Office,NBC,3
2010,Movieline Christopher Rosen,Lost,ABC,4
2010,Movieline Christopher Rosen,30 Rock,NBC,5
2010,Movieline Christopher Rosen,Parks and Recreation,NBC,6
2010,Movieline Christopher Rosen,Bored to Death,HBO,7
2010,Movieline Christopher Rosen,Boardwalk Empire,HBO,8
2010,Movieline Christopher Rosen,How I Met Your Mother,CBS,9
2010,Movieline Christopher Rosen,Grey's Anatomy,ABC,10
2010,New York Emily Nussbaum,Community,NBC,1
2010,New York Emily Nussbaum,Mad Men,AMC,2
2010,New York Emily Nussbaum,Terriers,FX,3
2010,New York Emily Nussbaum,30 Rock,NBC,4
2010,New York Emily Nussbaum,In Treatment,HBO,5
2010,New York Emily Nussbaum,Louie,FX,6
2010,New York Emily Nussbaum,The Good Wife,CBS,7
2010,New York Emily Nussbaum,United States of Tara,Showtime,8
2010,New York Emily Nussbaum,Boardwalk Empire,HBO,9
2010,New York Emily Nussbaum,Treme,HBO,10
2010,New York Times Mike Hale,American Experience: My Lai,PBS,1
2010,New York Times Mike Hale,The Boondocks,Adult Swim,2
2010,New York Times Mike Hale,Carlos,Sundance,3
2010,New York Times Mike Hale,Friday Night Lights,DirecTV/NBC,4
2010,New York Times Mike Hale,Fringe,Fox,5
2010,New York Times Mike Hale,Gavin and Stacey,BBC America,6
2010,New York Times Mike Hale,The Good Wife,CBS,7
2010,New York Times Mike Hale,Huge,ABC Family,8
2010,New York Times Mike Hale,Louie,FX,9
2010,New York Times Mike Hale,Spectacle: Elvis Costello With...,Sundance,10
2010,The Onion A.V. Club,Breaking Bad,AMC,1
2010,The Onion A.V. Club,Community,NBC,2
2010,The Onion A.V. Club,Parks and Recreation,NBC,3
2010,The Onion A.V. Club,Louie,FX,4
2010,The Onion A.V. Club,Mad Men,AMC,5
2010,The Onion A.V. Club,Party Down,Starz,6
2010,The Onion A.V. Club,Terriers,FX,7
2010,The Onion A.V. Club,Lost,ABC,8
2010,The Onion A.V. Club,The Good Wife,CBS,9
2010,The Onion A.V. Club,Cougar Town,ABC,10
2010,Paste Josh Jackson,Mad Men,AMC,1
2010,Paste Josh Jackson,Modern Family,ABC,2
2010,Paste Josh Jackson,Dexter,Showtime,3
2010,Paste Josh Jackson,Boardwalk Empire,HBO,4
2010,Paste Josh Jackson,Breaking Bad,AMC,5
2010,Paste Josh Jackson,30 Rock,NBC,6
2010,Paste Josh Jackson,Lost,ABC,7
2010,Paste Josh Jackson,The Walking Dead,AMC,8
2010,Paste Josh Jackson,Community,NBC,9
2010,Paste Josh Jackson,The Daily Show with Jon Stewart,Comedy Central,10
2010,Pittsburgh Post-Gazette Rob Owen,The Good Wife,CBS,1
2010,Pittsburgh Post-Gazette Rob Owen,Mad Men,AMC,2
2010,Pittsburgh Post-Gazette Rob Owen,Community,NBC,3
2010,Pittsburgh Post-Gazette Rob Owen,Modern Family,ABC,4
2010,Pittsburgh Post-Gazette Rob Owen,The Middle,ABC,5
2010,Pittsburgh Post-Gazette Rob Owen,Breaking Bad,AMC,6
2010,Pittsburgh Post-Gazette Rob Owen,Spartacus: Blood and Sand,Starz,7
2010,Pittsburgh Post-Gazette Rob Owen,The Walking Dead,AMC,8
2010,Pittsburgh Post-Gazette Rob Owen,Terriers,FX,10
2010,PopMatters Melissa Crawley,Luther,BBC America,1
2010,PopMatters Melissa Crawley,Nurse Jackie,Showtime,2
2010,PopMatters Melissa Crawley,Mad Men,AMC,3
2010,PopMatters Melissa Crawley,Boardwalk Empire,HBO,4
2010,PopMatters Melissa Crawley,True Blood,HBO,5
2010,PopMatters Melissa Crawley,The Office,NBC,6
2010,PopMatters Melissa Crawley,Sons of Anarchy,FX,7
2010,PopMatters Melissa Crawley,Spartacus: Blood and Sand,Starz,8
2010,PopMatters Melissa Crawley,So You Think You Can Dance,Fox,9
2010,PopMatters Melissa Crawley,Hawaii Five-0,CBS,10
2010,Salon Heather Havrilesky,Community,NBC,1
2010,Salon Heather Havrilesky,Boardwalk Empire,HBO,2
2010,Salon Heather Havrilesky,30 Rock,NBC,3
2010,Salon Heather Havrilesky,Men of a Certain Age,TNT,4
2010,Salon Heather Havrilesky,Louie,FX,5
2010,Salon Heather Havrilesky,Parks and Recreation,NBC,6
2010,Salon Heather Havrilesky,Mad Men,AMC,7
