year,age,mQx,fQx
1900,0,0.14596,0
1900,1,0.03814,1
1900,2,0.01958,2
1900,3,0.01353,3
1900,4,0.01080,4
1900,5,0.00794,5
1900,6,0.00570,6
1900,7,0.00407,7
1900,8,0.00305,8
1900,9,0.00256,9
1900,10,0.00248,10
1900,11,0.00267,11
1900,12,0.00294,12
1900,13,0.00315,13
1900,14,0.00336,14
1900,15,0.00367,15
1900,16,0.00415,16
1900,17,0.00468,17
1900,18,0.00523,18
1900,19,0.00580,19
1900,20,0.00642,20
1900,21,0.00702,21
1900,22,0.00745,22
1900,23,0.00762,23
1900,24,0.00761,24
1900,25,0.00753,25
1900,26,0.00750,26
1900,27,0.00756,27
1900,28,0.00776,28
1900,29,0.00806,29
1900,30,0.00838,30
1900,31,0.00867,31
1900,32,0.00894,32
1900,33,0.00917,33
1900,34,0.00938,34
1900,35,0.00960,35
1900,36,0.00985,36
1900,37,0.01008,37
1900,38,0.01029,38
1900,39,0.01051,39
1900,40,0.01074,40
1900,41,0.01102,41
1900,42,0.01134,42
1900,43,0.01172,43
1900,44,0.01217,44
1900,45,0.01268,45
1900,46,0.01324,46
1900,47,0.01383,47
1900,48,0.01446,48
1900,49,0.01515,49
1900,50,0.01589,50
1900,51,0.01673,51
1900,52,0.01771,52
1900,53,0.01884,53
1900,54,0.02011,54
1900,55,0.02154,55
1900,56,0.02307,56
1900,57,0.02459,57
1900,58,0.02609,58
1900,59,0.02762,59
1900,60,0.02930,60
1900,61,0.03123,61
1900,62,0.03340,62
1900,63,0.03584,63
1900,64,0.03858,64
1900,65,0.04159,65
1900,66,0.04488,66
1900,67,0.04852,67
1900,68,0.05253,68
1900,69,0.05691,69
1900,70,0.06182,70
1900,71,0.06714,71
1900,72,0.07254,72
1900,73,0.07793,73
1900,74,0.08354,74
1900,75,0.08945,75
1900,76,0.09618,76
1900,77,0.10426,77
1900,78,0.11400,78
1900,79,0.12504,79
1900,80,0.13692,80
1900,81,0.14905,81
1900,82,0.16118,82
1900,83,0.17303,83
1900,84,0.18486,84
1900,85,0.19707,85
1900,86,0.20998,86
1900,87,0.22376,87
1900,88,0.23841,88
1900,89,0.25378,89
1900,90,0.26970,90
1900,91,0.28598,91
1900,92,0.30241,92
1900,93,0.31883,93
1900,94,0.33510,94
1900,95,0.35212,95
1900,96,0.36994,96
1900,97,0.38858,97
1900,98,0.40809,98
1900,99,0.42850,99
1900,100,0.44992,100
1900,101,0.47242,101
1900,102,0.49604,102
1900,103,0.52084,103
1900,104,0.54688,104
1900,105,0.57423,105
1900,106,0.60294,106
1900,107,0.63308,107
1900,108,0.66474,108
1900,109,0.69797,109
1900,110,0.73287,110
1900,111,0.76952,111
1900,112,0.80799,112
1900,113,0.84839,113
1900,114,0.89081,114
1900,115,0.93535,115
1900,116,0.98212,116
1900,117,1.00000,117
1900,118,1.00000,118
1900,119,1.00000,119
1910,0,0.12006,0
1910,1,0.02729,1
1910,2,0.01407,2
1910,3,0.00976,3
1910,4,0.00779,4
1910,5,0.00581,5
1910,6,0.00426,6
1910,7,0.00314,7
1910,8,0.00245,8
1910,9,0.00213,9
1910,10,0.00211,10
1910,11,0.00226,11
1910,12,0.00248,12
1910,13,0.00265,13
1910,14,0.00282,14
1910,15,0.00306,15
1910,16,0.00342,16
1910,17,0.00383,17
1910,18,0.00427,18
1910,19,0.00473,19
1910,20,0.00524,20
1910,21,0.00574,21
1910,22,0.00609,22
1910,23,0.00624,23
1910,24,0.00625,24
1910,25,0.00620,25
1910,26,0.00621,26
1910,27,0.00629,27
1910,28,0.00650,28
1910,29,0.00680,29
1910,30,0.00713,30
1910,31,0.00744,31
1910,32,0.00773,32
1910,33,0.00798,33
1910,34,0.00821,34
1910,35,0.00844,35
1910,36,0.00871,36
1910,37,0.00902,37
1910,38,0.00938,38
1910,39,0.00979,39
1910,40,0.01023,40
1910,41,0.01068,41
1910,42,0.01115,42
1910,43,0.01163,43
1910,44,0.01213,44
1910,45,0.01270,45
1910,46,0.01331,46
1910,47,0.01386,47
1910,48,0.01433,48
1910,49,0.01478,49
1910,50,0.01524,50
1910,51,0.01584,51
1910,52,0.01671,52
1910,53,0.01791,53
1910,54,0.01938,54
1910,55,0.02103,55
1910,56,0.02274,56
