name,url
Abilene Christian Wildcats,/cbb/schools/abilene-christian/
Air Force Falcons,/cbb/schools/air-force/
Akron Zips,/cbb/schools/akron/
Alabama A&M Bulldogs,/cbb/schools/alabama-am/
Alabama Crimson Tide,/cbb/schools/alabama/
Alabama State Hornets,/cbb/schools/alabama-state/
Alabama-Birmingham Blazers,/cbb/schools/alabama-birmingham/
Albany (NY) Great Danes,/cbb/schools/albany-ny/
Alcorn State Braves,/cbb/schools/alcorn-state/
Allegheny Gators,/cbb/schools/allegheny/
Alliant International Gulls,/cbb/schools/alliant-international/
American Eagles,/cbb/schools/american/
Amherst Lord Jeffs,/cbb/schools/amherst/
Appalachian State Mountaineers,/cbb/schools/appalachian-state/
Arizona State Sun Devils,/cbb/schools/arizona-state/
Arizona Wildcats,/cbb/schools/arizona/
Arkansas Razorbacks,/cbb/schools/arkansas/
Arkansas State Red Wolves,/cbb/schools/arkansas-state/
Arkansas-Little Rock Trojans,/cbb/schools/arkansas-little-rock/
Arkansas-Pine Bluff Golden Lions,/cbb/schools/arkansas-pine-bluff/
Armstrong Pirates,/cbb/schools/armstrong/
Army Black Knights,/cbb/schools/army/
Auburn Tigers,/cbb/schools/auburn/
Augusta State Jaguars,/cbb/schools/augusta-state/
Augustana (IL) Vikings,/cbb/schools/augustana-il/
Austin Peay Governors,/cbb/schools/austin-peay/
Baker University Wildcats,/cbb/schools/baker-university/
Baldwin-Wallace Yellow Jackets,/cbb/schools/baldwin-wallace/
Ball State Cardinals,/cbb/schools/ball-state/
Baltimore Super Bees,/cbb/schools/baltimore/
Baylor Bears,/cbb/schools/baylor/
Belmont Bruins,/cbb/schools/belmont/
Beloit Buccaneers,/cbb/schools/beloit/
Bethune-Cookman Wildcats,/cbb/schools/bethune-cookman/
Binghamton Bearcats,/cbb/schools/binghamton/
Birmingham-Southern Panthers,/cbb/schools/birmingham-southern/
Bloomsburg Huskies,/cbb/schools/bloomsburg/
Boise State Broncos,/cbb/schools/boise-state/
Boston College Eagles,/cbb/schools/boston-college/
Boston University Terriers,/cbb/schools/boston-university/
Bowling Green State Falcons,/cbb/schools/bowling-green-state/
Bradley Braves,/cbb/schools/bradley/
Brigham Young College ,/cbb/schools/brigham-young-college/
Brigham Young Cougars,/cbb/schools/brigham-young/
Brooklyn Bulldogs,/cbb/schools/brooklyn/
Brown Bears,/cbb/schools/brown/
Bryant Bulldogs,/cbb/schools/bryant/
Bucknell Bison,/cbb/schools/bucknell/
Buffalo Bulls,/cbb/schools/buffalo/
Butler Bulldogs,/cbb/schools/butler/
Cal Poly Mustangs,/cbb/schools/cal-poly/
Cal State Bakersfield Roadrunners,/cbb/schools/cal-state-bakersfield/
Cal State Fullerton Titans,/cbb/schools/cal-state-fullerton/
Cal State Los Angeles Golden Eagles,/cbb/schools/cal-state-los-angeles/
Cal State Northridge Matadors,/cbb/schools/cal-state-northridge/
California Golden Bears,/cbb/schools/california/
California-Davis Aggies,/cbb/schools/california-davis/
California-Irvine Anteaters,/cbb/schools/california-irvine/
California-Riverside Highlanders,/cbb/schools/california-riverside/
California-Santa Barbara Gauchos,/cbb/schools/california-santa-barbara/
