congress,name,birth,position,party,state,death
1,"AMES, Fisher",1758,Representative,Pro-Administration,MA,1808
1,"ASHE, John Baptista",1748,Representative,Anti-Administration,NC,1802
1,"BALDWIN, Abraham",1754,Representative,Anti-Administration,GA,1807
1,"BASSETT, Richard",1745,Senator,Anti-Administration,DE,1815
1,"BENSON, Egbert",1746,Representative,Pro-Administration,NY,1833
1,"BLAND, Theodorick",1742,Representative,Anti-Administration,VA,1790
1,"BLOODWORTH, Timothy",1736,Representative,,NC,1814
1,"BOUDINOT, Elias",1740,Representative,Pro-Administration,NJ,1821
1,"BOURNE, Benjamin",1755,Representative,Pro-Administration,RI,1808
1,"BROWN, John",1757,Representative,Anti-Administration,VA,1837
1,"BURKE, Aedanus",1743,Representative,Anti-Administration,SC,1802
1,"BUTLER, Pierce",1744,Senator,Pro-Administration,SC,1822
1,"CADWALADER, Lambert",1742,Representative,Pro-Administration,NJ,1823
1,"CARROLL, Charles (of Carrollton)",1737,Senator,Pro-Administration,MD,1832
1,"CARROLL, Daniel",1730,Representative,Pro-Administration,MD,1796
1,"CLYMER, George",1739,Representative,Pro-Administration,PA,1813
1,"COLES, Isaac",1747,Representative,Anti-Administration,VA,1813
1,"CONTEE, Benjamin",1755,Representative,Anti-Administration,MD,1815
1,"DALTON, Tristram",1738,Senator,Pro-Administration,MA,1817
1,"DICKINSON, Philemon",1739,Senator,Pro-Administration,NJ,1809
1,"ELLSWORTH, Oliver",1745,Senator,Pro-Administration,CT,1807
1,"ELMER, Jonathan",1745,Senator,Pro-Administration,NJ,1817
1,"FEW, William",1748,Senator,Anti-Administration,GA,1828
1,"FITZSIMONS, Thomas",1741,Representative,Pro-Administration,PA,1811
1,"FLOYD, William",1734,Representative,Anti-Administration,NY,1821
1,"FOSTER, Abiel",1735,Representative,Pro-Administration,NH,1806
1,"FOSTER, Theodore",1752,Senator,Pro-Administration,RI,1828
1,"GALE, George",1756,Representative,Pro-Administration,MD,1815
1,"GERRY, Elbridge",1744,Representative,Anti-Administration,MA,1814
1,"GILES, William Branch",1762,Representative,,VA,1830
1,"GILMAN, Nicholas",1755,Representative,,NH,1814
1,"GOODHUE, Benjamin",1748,Representative,Federalist,MA,1814
1,"GRAYSON, William",1740,Senator,Anti-Administration,VA,1790
1,"GRIFFIN, Samuel",1746,Representative,Pro-Administration,VA,1810
1,"GROUT, Jonathan",1737,Representative,Anti-Administration,MA,1807
1,"GUNN, James",1753,Senator,Anti-Administration,GA,1801
1,"HARTLEY, Thomas",1748,Representative,Pro-Administration,PA,1800
1,"HATHORN, John",1749,Representative,Anti-Administration,NY,1825
1,"HAWKINS, Benjamin",1754,Senator,Pro-Administration,NC,1816
1,"HENRY, John",1750,Senator,Pro-Administration,MD,1798
1,"HIESTER, Daniel",1747,Representative,Anti-Administration,PA,1804
1,"HUGER, Daniel",1742,Representative,Pro-Administration,SC,1799
1,"HUNTINGTON, Benjamin",1736,Representative,Pro-Administration,CT,1800
1,"IZARD, Ralph",1741/1742,Senator,Pro-Administration,SC,1804
1,"JACKSON, James",1757,Representative,Republican,GA,1806
1,"JOHNSON, William Samuel",1727,Senator,Pro-Administration,CT,1819
1,"JOHNSTON, Samuel",1733,Senator,Pro-Administration,NC,1816
1,"KING, Rufus",1755,Senator,Pro-Administration,NY,1827
1,"LANGDON, John",1741,Senator,Pro-Administration,NH,1819
1,"LAURANCE, John",1750,Representative,,NY,1810
1,"LEE, Richard Bland",1761,Representative,Pro-Administration,VA,1827
1,"LEE, Richard Henry",1732,Senator,Anti-Administration,VA,1794
1,"LEONARD, George",1729,Representative,Pro-Administration,MA,1819
1,"LIVERMORE, Samuel",1732,Representative,Federalist,NH,1803
1,"MACLAY, William",1737,Senator,Anti-Administration,PA,1804
1,"MADISON, James, Jr.",1751,Representative,Anti-Administration,VA,1836
1,"MATHEWS, George",1739,Representative,Anti-Administration,GA,1812
1,"MONROE, James",1758,Senator,Anti-Administration,VA,1831
1,"MOORE, Andrew",1752,Representative,,VA,1821
1,"MORRIS, Robert",1734,Senator,Pro-Administration,PA,1806
1,"MUHLENBERG, Frederick Augustus Conrad",1750,Speaker of the House,Pro-administration,US,1801
1,"MUHLENBERG, John Peter Gabriel",1746,Representative,,PA,1807
1,"PAGE, John",1743,Representative,Anti-Administration,VA,1808
1,"PARKER, Josiah",1751,Representative,Anti-Administration,VA,1810
1,"PARTRIDGE, George",1740,Representative,Pro-Administration,MA,1828
