series,boxLink
1947-baa-finals-stags-vs-warriors.html,194704160PHW.html
1947-baa-finals-stags-vs-warriors.html,194704170PHW.html
1947-baa-finals-stags-vs-warriors.html,194704190CHS.html
1947-baa-finals-stags-vs-warriors.html,194704200CHS.html
1947-baa-finals-stags-vs-warriors.html,194704220PHW.html
1947-baa-quarterfinals-bombers-vs-warriors.html,194704020PHW.html
1947-baa-quarterfinals-bombers-vs-warriors.html,194704050STB.html
1947-baa-quarterfinals-bombers-vs-warriors.html,194704060STB.html
1947-baa-quarterfinals-knicks-vs-rebels.html,194704020CLR.html
1947-baa-quarterfinals-knicks-vs-rebels.html,194704050NYK.html
1947-baa-quarterfinals-knicks-vs-rebels.html,194704090NYK.html
1947-baa-semifinals-knicks-vs-warriors.html,194704120PHW.html
1947-baa-semifinals-knicks-vs-warriors.html,194704140NYK.html
1947-baa-semifinals-stags-vs-capitols.html,194704020WSC.html
1947-baa-semifinals-stags-vs-capitols.html,194704030WSC.html
1947-baa-semifinals-stags-vs-capitols.html,194704080CHS.html
1947-baa-semifinals-stags-vs-capitols.html,194704100WSC.html
1947-baa-semifinals-stags-vs-capitols.html,194704120CHS.html
1947-baa-semifinals-stags-vs-capitols.html,194704130CHS.html
1948-baa-finals-bullets-vs-warriors.html,194804100PHW.html
1948-baa-finals-bullets-vs-warriors.html,194804130PHW.html
1948-baa-finals-bullets-vs-warriors.html,194804150BLB.html
1948-baa-finals-bullets-vs-warriors.html,194804170BLB.html
1948-baa-finals-bullets-vs-warriors.html,194804200PHW.html
1948-baa-finals-bullets-vs-warriors.html,194804210BLB.html
1948-baa-quarterfinals-knicks-vs-bullets.html,194803270BLB.html
1948-baa-quarterfinals-knicks-vs-bullets.html,194803280NYK.html
1948-baa-quarterfinals-knicks-vs-bullets.html,194804010BLB.html
1948-baa-quarterfinals-stags-vs-celtics.html,194803280BOS.html
1948-baa-quarterfinals-stags-vs-celtics.html,194803310BOS.html
1948-baa-quarterfinals-stags-vs-celtics.html,194804020BOS.html
1948-baa-semifinals-bullets-vs-stags.html,194804070CHS.html
1948-baa-semifinals-bullets-vs-stags.html,194804080BLB.html
1948-baa-semifinals-warriors-vs-bombers.html,194803230STB.html
1948-baa-semifinals-warriors-vs-bombers.html,194803250STB.html
1948-baa-semifinals-warriors-vs-bombers.html,194803270PHW.html
1948-baa-semifinals-warriors-vs-bombers.html,194803300PHW.html
1948-baa-semifinals-warriors-vs-bombers.html,194804010STB.html
1948-baa-semifinals-warriors-vs-bombers.html,194804030PHW.html
1948-baa-semifinals-warriors-vs-bombers.html,194804060STB.html
1948-baa-western-division-tiebreaker-bullets-vs-stags.html,194803250CHS.html
1948-baa-western-division-tiebreaker-capitols-vs-stags.html,194803230CHS.html
1949-baa-eastern-division-finals-knicks-vs-capitols.html,194903290WSC.html
1949-baa-eastern-division-finals-knicks-vs-capitols.html,194903310NYK.html
1949-baa-eastern-division-finals-knicks-vs-capitols.html,194904020WSC.html
1949-baa-eastern-division-semifinals-capitols-vs-warriors.html,194903230PHW.html
1949-baa-eastern-division-semifinals-capitols-vs-warriors.html,194903240WSC.html
1949-baa-eastern-division-semifinals-knicks-vs-bullets.html,194903230BLB.html
1949-baa-eastern-division-semifinals-knicks-vs-bullets.html,194903240NYK.html
1949-baa-eastern-division-semifinals-knicks-vs-bullets.html,194903260NYK.html
1949-baa-finals-capitols-vs-lakers.html,194904040MNL.html
1949-baa-finals-capitols-vs-lakers.html,194904060MNL.html
1949-baa-finals-capitols-vs-lakers.html,194904080WSC.html
1949-baa-finals-capitols-vs-lakers.html,194904090WSC.html
1949-baa-finals-capitols-vs-lakers.html,194904110WSC.html
1949-baa-finals-capitols-vs-lakers.html,194904130MNL.html
1949-baa-western-division-finals-lakers-vs-royals.html,194903270ROC.html
1949-baa-western-division-finals-lakers-vs-royals.html,194903290MNL.html
1949-baa-western-division-semifinals-bombers-vs-royals.html,194903220ROC.html
1949-baa-western-division-semifinals-bombers-vs-royals.html,194903230STB.html
1949-baa-western-division-semifinals-stags-vs-lakers.html,194903230MNL.html
1949-baa-western-division-semifinals-stags-vs-lakers.html,194903240CHS.html
1950-nba-central-division-finals-pistons-vs-lakers.html,195003270MNL.html
1950-nba-central-division-finals-pistons-vs-lakers.html,195003280FTW.html
1950-nba-central-division-first-place-tiebreaker-lakers-vs-royals.html,195003210ROC.html
1950-nba-central-division-semifinals-pistons-vs-royals.html,195003230ROC.html
1950-nba-central-division-semifinals-pistons-vs-royals.html,195003240FTW.html
1950-nba-central-division-semifinals-stags-vs-lakers.html,195003220MNL.html
1950-nba-central-division-semifinals-stags-vs-lakers.html,195003250CHS.html
1950-nba-central-division-third-place-tiebreaker-stags-vs-pistons.html,195003200FTW.html
1950-nba-eastern-division-finals-knicks-vs-nationals.html,195003260SYR.html
1950-nba-eastern-division-finals-knicks-vs-nationals.html,195003300NYK.html
1950-nba-eastern-division-finals-knicks-vs-nationals.html,195004020SYR.html
1950-nba-eastern-division-semifinals-knicks-vs-capitols.html,195003210WSC.html
1950-nba-eastern-division-semifinals-knicks-vs-capitols.html,195003220NYK.html
1950-nba-eastern-division-semifinals-warriors-vs-nationals.html,195003220SYR.html
1950-nba-eastern-division-semifinals-warriors-vs-nationals.html,195003230PHW.html
1950-nba-finals-lakers-vs-nationals.html,195004080SYR.html
1950-nba-finals-lakers-vs-nationals.html,195004090SYR.html
1950-nba-finals-lakers-vs-nationals.html,195004140MNL.html
1950-nba-finals-lakers-vs-nationals.html,195004160MNL.html
1950-nba-finals-lakers-vs-nationals.html,195004200SYR.html
1950-nba-finals-lakers-vs-nationals.html,195004230MNL.html
1950-nba-semifinals-packers-vs-lakers.html,195004050MNL.html
1950-nba-semifinals-packers-vs-lakers.html,195004060AND.html
1950-nba-western-division-finals-packers-vs-olympians.html,195003280INO.html
1950-nba-western-division-finals-packers-vs-olympians.html,195003300AND.html
1950-nba-western-division-finals-packers-vs-olympians.html,195004010INO.html
1950-nba-western-division-semifinals-blackhawks-vs-packers.html,195003210AND.html
1950-nba-western-division-semifinals-blackhawks-vs-packers.html,195003230TRI.html
1950-nba-western-division-semifinals-blackhawks-vs-packers.html,195003240AND.html
1950-nba-western-division-semifinals-red-skins-vs-olympians.html,195003210INO.html
1950-nba-western-division-semifinals-red-skins-vs-olympians.html,195003230SHE.html
1950-nba-western-division-semifinals-red-skins-vs-olympians.html,195003250INO.html
1951-nba-eastern-division-finals-nationals-vs-knicks.html,195103280NYK.html
1951-nba-eastern-division-finals-nationals-vs-knicks.html,195103290SYR.html
1951-nba-eastern-division-finals-nationals-vs-knicks.html,195103310NYK.html
1951-nba-eastern-division-finals-nationals-vs-knicks.html,195104010SYR.html
1951-nba-eastern-division-finals-nationals-vs-knicks.html,195104040NYK.html
1951-nba-eastern-division-semifinals-knicks-vs-celtics.html,195103200BOS.html
1951-nba-eastern-division-semifinals-knicks-vs-celtics.html,195103220NYK.html
1951-nba-eastern-division-semifinals-nationals-vs-warriors.html,195103200PHW.html
1951-nba-eastern-division-semifinals-nationals-vs-warriors.html,195103220SYR.html
1951-nba-finals-knicks-vs-royals.html,195104070ROC.html
