year,league,round,seriesLink,winner,loser
2016,NBA,Eastern Conf First Round,/playoffs/2016-nba-eastern-conference-first-round-pistons-vs-cavaliers.html,CLE,DET
2016,NBA,Eastern Conf First Round,/playoffs/2016-nba-eastern-conference-first-round-pacers-vs-raptors.html,TOR,IND
2016,NBA,Eastern Conf First Round,/playoffs/2016-nba-eastern-conference-first-round-hornets-vs-heat.html,MIA,CHO
2016,NBA,Eastern Conf First Round,/playoffs/2016-nba-eastern-conference-first-round-celtics-vs-hawks.html,ATL,BOS
2016,NBA,Western Conf First Round,/playoffs/2016-nba-western-conference-first-round-rockets-vs-warriors.html,GSW,HOU
2016,NBA,Western Conf First Round,/playoffs/2016-nba-western-conference-first-round-grizzlies-vs-spurs.html,SAS,MEM
2016,NBA,Western Conf First Round,/playoffs/2016-nba-western-conference-first-round-mavericks-vs-thunder.html,OKC,DAL
2016,NBA,Western Conf First Round,/playoffs/2016-nba-western-conference-first-round-trail-blazers-vs-clippers.html,POR,LAC
2016,NBA,Eastern Conf Semifinals,/playoffs/2016-nba-eastern-conference-semifinals-hawks-vs-cavaliers.html,CLE,ATL
2016,NBA,Eastern Conf Semifinals,/playoffs/2016-nba-eastern-conference-semifinals-heat-vs-raptors.html,TOR,MIA
2016,NBA,Western Conf Semifinals,/playoffs/2016-nba-western-conference-semifinals-trail-blazers-vs-warriors.html,GSW,POR
2016,NBA,Western Conf Semifinals,/playoffs/2016-nba-western-conference-semifinals-thunder-vs-spurs.html,OKC,SAS
2015,NBA,Eastern Conf First Round,/playoffs/2015-nba-eastern-conference-first-round-nets-vs-hawks.html,ATL,BRK
2015,NBA,Eastern Conf First Round,/playoffs/2015-nba-eastern-conference-first-round-celtics-vs-cavaliers.html,CLE,BOS
2015,NBA,Eastern Conf First Round,/playoffs/2015-nba-eastern-conference-first-round-bucks-vs-bulls.html,CHI,MIL
2015,NBA,Eastern Conf First Round,/playoffs/2015-nba-eastern-conference-first-round-wizards-vs-raptors.html,WAS,TOR
2015,NBA,Western Conf First Round,/playoffs/2015-nba-western-conference-first-round-pelicans-vs-warriors.html,GSW,NOP
2015,NBA,Western Conf First Round,/playoffs/2015-nba-western-conference-first-round-mavericks-vs-rockets.html,HOU,DAL
2015,NBA,Western Conf First Round,/playoffs/2015-nba-western-conference-first-round-spurs-vs-clippers.html,LAC,SAS
2015,NBA,Western Conf First Round,/playoffs/2015-nba-western-conference-first-round-trail-blazers-vs-grizzlies.html,MEM,POR
2015,NBA,Eastern Conf Semifinals,/playoffs/2015-nba-eastern-conference-semifinals-bulls-vs-cavaliers.html,CLE,CHI
2015,NBA,Eastern Conf Semifinals,/playoffs/2015-nba-eastern-conference-semifinals-wizards-vs-hawks.html,ATL,WAS
2015,NBA,Western Conf Semifinals,/playoffs/2015-nba-western-conference-semifinals-clippers-vs-rockets.html,HOU,LAC
