gameIndex,Date,Red,Blue,Win,RRoster,BRoster
9997,2013-05-26,China LPL,Korea Champions,blue,PDD • Troll • Misaya • WeiXiao • XiaoXiao,Shy • inSec • Ambition • PraY • MadLife
9996,2013-05-26,Korea Champions,China LPL,red,Shy • inSec • Ambition • PraY • MadLife,PDD • Troll • Misaya • WeiXiao • XiaoXiao
9995,2013-05-26,Korea Champions,North America LCS,red,Shy • inSec • Ambition • PraY • MadLife,Dyrus • Saintvicious • Scarra • Doublelift • Xpecial
9994,2013-05-26,North America LCS,Korea Champions,blue,Dyrus • Saintvicious • Scarra • Doublelift • Xpecial,Shy • inSec • Ambition • PraY • MadLife
9993,2013-05-25,China LPL,Garena Team,red,PDD • Troll • Misaya • WeiXiao • XiaoXiao,Stanley • HaRleLuYaR • Toyz • Chawy • MiSTakE
9992,2013-05-25,Garena Team,China LPL,blue,Stanley • HaRleLuYaR • Toyz • Chawy • MiSTakE,PDD • Troll • Misaya • WeiXiao • XiaoXiao
9991,2013-05-25,North America LCS,Europe LCS,red,Dyrus • Saintvicious • Scarra • Doublelift • Xpecial,sOAZ • Diamondprox • Alex Ich • Yellowpete • Edward
9990,2013-05-25,Europe LCS,North America LCS,blue,sOAZ • Diamondprox • Alex Ich • Yellowpete • Edward,Dyrus • Saintvicious • Scarra • Doublelift • Xpecial
9989,2013-05-24,Korea Champions,Europe LCS,red,Shy • inSec • Ambition • PraY • MadLife,sOAZ • Diamondprox • Alex Ich • Yellowpete • Edward
9988,2013-05-24,Europe LCS,Korea Champions,blue,sOAZ • Diamondprox • Alex Ich • Yellowpete • Edward,Shy • inSec • Ambition • PraY • MadLife
9987,2013-05-24,North America LCS,China LPL,blue,Dyrus • Saintvicious • Scarra • Doublelift • Xpecial,PDD • Troll • Misaya • WeiXiao • XiaoXiao
9986,2013-05-24,China LPL,North America LCS,red,PDD • Troll • Misaya • WeiXiao • XiaoXiao,Dyrus • Saintvicious • Scarra • Doublelift • Xpecial
9997,2014-05-10,SK Telecom T1 K,Fnatic,red,Impact • bengi • Faker • Piglet • PoohManDu,sOAZ • Cyanide • xPeke • Rekkles • YellOwStaR
9996,2014-05-10,Fnatic,SK Telecom T1 K,blue,sOAZ • Cyanide • xPeke • Rekkles • YellOwStaR,Impact • bengi • Faker • Piglet • PoohManDu
9995,2014-05-10,Oh My God,SK Telecom T1 K,blue,Gogoing • bigpomelo • xiyang • san • LoveLin,Impact • bengi • Faker • Piglet • PoohManDu
9994,2014-05-10,SK Telecom T1 K,Oh My God,red,Impact • bengi • Faker • Piglet • PoohManDu,Gogoing • bigpomelo • xiyang • san • LoveLin
9993,2014-05-10,Cloud9,Oh My God,blue,Balls • Meteos • Link • Sneaky • LemonNation,Gogoing • bigpomelo • xiyang • san • LoveLin
9992,2014-05-10,SK Telecom T1 K,Oh My God,red,Impact • bengi • Faker • Piglet • PoohManDu,Gogoing • bigpomelo • xiyang • san • LoveLin
9991,2014-05-10,Oh My God,Cloud9,red,Gogoing • bigpomelo • xiyang • san • LoveLin,Balls • Meteos • Link • Sneaky • LemonNation
9990,2014-05-09,Fnatic,Taipei Assassins,red,sOAZ • Cyanide • xPeke • Rekkles • YellOwStaR,Achie • Winds • Morning • bebe • Jay
9989,2014-05-09,Oh My God,Cloud9,blue,Gogoing • bigpomelo • xiyang • san • LoveLin,Balls • Meteos • Link • Sneaky • LemonNation
9988,2014-05-09,SK Telecom T1 K,Fnatic,red,Impact • bengi • Faker • Piglet • PoohManDu,sOAZ • Cyanide • xPeke • Rekkles • YellOwStaR
9987,2014-05-09,Taipei Assassins,Cloud9,blue,Achie • Winds • Morning • bebe • Jay,Balls • Meteos • Link • Sneaky • LemonNation
9986,2014-05-09,Oh My God,SK Telecom T1 K,blue,Gogoing • bigpomelo • xiyang • san • LoveLin,Impact • bengi • Faker • Piglet • PoohManDu
9985,2014-05-08,Cloud9,SK Telecom T1 K,blue,Balls • Meteos • Link • Sneaky • LemonNation,Impact • bengi • Faker • Piglet • PoohManDu
9984,2014-05-08,Taipei Assassins,Oh My God,blue,Achie • Winds • Morning • bebe • Jay,Gogoing • bigpomelo • xiyang • san • LoveLin
9983,2014-05-08,Cloud9,Fnatic,red,Balls • Meteos • Link • Sneaky • LemonNation,sOAZ • Cyanide • xPeke • Rekkles • YellOwStaR
9982,2014-05-08,SK Telecom T1 K,Taipei Assassins,red,Impact • bengi • Faker • Piglet • PoohManDu,Achie • Winds • Morning • bebe • Jay
9981,2014-05-08,Fnatic,Oh My God,blue,sOAZ • Cyanide • xPeke • Rekkles • YellOwStaR,Gogoing • bigpomelo • xiyang • san • LoveLin
9997,2015-11-29,Team Turkey,Team CIS,red,Thaldrin • Crystal • Naru • HolyPhoenix • Dumbledoge,Smurf • DimaJke • Kira • LeX • Dimonko
9996,2015-11-29,Team CIS,Team Turkey,red,Smurf • DimaJke • Kira • LeX • Dimonko,Thaldrin • Crystal • Naru • HolyPhoenix • Dumbledoge
9995,2015-11-29,Team Turkey,Team CIS,red,Thaldrin • Crystal • Naru • HolyPhoenix • Dumbledoge,Smurf • DimaJke • Kira • LeX • Dimonko
9994,2015-11-29,Team CIS,Team Turkey,blue,Smurf • DimaJke • Kira • LeX • Dimonko,Thaldrin • Crystal • Naru • HolyPhoenix • Dumbledoge
9993,2015-11-28,Team Turkey,Team Oceania,red,Thaldrin • Crystal • Naru • HolyPhoenix • Dumbledoge,Ryoo • Carbon • ChuChuZ • Raydere • EGym
9992,2015-11-28,Team Latin America,Team Southeast Asia,blue,Helior • Thyak • Seiya • Whitelotus • Arce,Archie • SofM • G4 • Optimus • Moss
9991,2015-11-28,Team Turkey,Team Brazil,red,Thaldrin • Crystal • Naru • HolyPhoenix • Dumbledoge,LEP • Revolta • Kami • brTT • Loop
9990,2015-11-28,Team CIS,Team Japan,red,Smurf • DimaJke • Kira • LeX • Dimonko,evi • Rainbrain • Ceros • Mueki • D4ra
9989,2015-11-28,Team Brazil,Team Southeast Asia,red,LEP • Revolta • Kami • brTT • Loop,Archie • SofM • G4 • Optimus • Moss
9988,2015-11-28,Team Japan,Team Latin America,blue,evi • Rainbrain • Ceros • Mueki • D4ra,Helior • Thyak • Seiya • Whitelotus • Arce
9987,2015-11-28,Team CIS,Team Oceania,red,Smurf • DimaJke • Kira • LeX • Dimonko,Ryoo • Carbon • ChuChuZ • Raydere • EGym
9986,2015-11-27,Team Southeast Asia,Team CIS,blue,Archie • SofM • G4 • Optimus • Moss,Smurf • DimaJke • Kira • LeX • Dimonko
9985,2015-11-27,Team Japan,Team Turkey,blue,evi • Rainbrain • Ceros • Mueki • D4ra,Thaldrin • Crystal • Naru • HolyPhoenix • Dumbledoge
9984,2015-11-27,Team Brazil,Team CIS,blue,LEP • Revolta • Kami • brTT • Loop,Smurf • DimaJke • Kira • LeX • Dimonko
9983,2015-11-27,Team Turkey,Team Latin America,red,Thaldrin • Crystal • Naru • HolyPhoenix • Dumbledoge,Helior • Thyak • Seiya • Whitelotus • Arce
9982,2015-11-27,Team Oceania,Team Brazil,red,Ryoo • Carbon • ChuChuZ • Raydere • EGym,LEP • Revolta • Kami • brTT • Loop
9981,2015-11-27,Team Southeast Asia,Team Japan,blue,Archie • SofM • G4 • Optimus • Moss,evi • Rainbrain • Ceros • Mueki • D4ra
9980,2015-11-27,Team Latin America,Team Oceania,red,Helior • Thyak • Seiya • Whitelotus • Arce,Ryoo • Carbon • ChuChuZ • Raydere • EGym
9979,2015-11-26,Team CIS,Team Turkey,blue,Smurf • DimaJke • Kira • LeX • Dimonko,Thaldrin • Crystal • Naru • HolyPhoenix • Dumbledoge
9978,2015-11-26,Team Oceania,Team Japan,blue,Ryoo • Carbon • ChuChuZ • Raydere • EGym,evi • Rainbrain • Ceros • Mueki • D4ra
9977,2015-11-26,Team Southeast Asia,Team Turkey,red,Archie • SofM • G4 • Optimus • Moss,Thaldrin • Crystal • Naru • HolyPhoenix • Dumbledoge
