gameIndex,qtr,time,isIn,str
0,1,12:00,true,"
10:56.0
  2-5+2S. Curry makes 2-pt shot from 3 ft (assist by A. Bogut)
"
0,2,12:00,false,"
7:31.0
  43-43 S. Curry enters the game for K. Thompson
"
0,2,7:31.0,true,"
7:31.0
  43-43 S. Curry enters the game for K. Thompson
"
0,3,2:51.0,false,"
2:51.0
  70-85 S. Livingston enters the game for S. Curry
"
0,4,8:37.0,true,"
8:37.0
  79-100 S. Curry enters the game for M. Speights
"
0,4,1:40.0,false,"
1:40.0
  91-104 B. Rush enters the game for S. Curry
"
1,1,12:00,true,"
11:00.0
S. Curry misses 2-pt shot from 18 ft 1-2  
"
1,1,1:46.0,false,"
1:46.0
L. Barbosa enters the game for S. Curry 23-25  
"
1,2,7:43.0,true,"
7:43.0
S. Curry enters the game for L. Barbosa 40-33  
"
1,3,6:23.0,false,"
6:23.0
A. Iguodala enters the game for S. Curry 70-57  
"
1,4,8:26.0,true,"
8:26.0
S. Curry enters the game for S. Livingston 89-72  
"
1,4,4:36.0,false,"
4:36.0
J. McAdoo enters the game for S. Curry 101-76  
"
2,1,12:00,true,"
9:48.0
D. Green makes 2-pt shot from 8 ft (assist by S. Curry)+24-8  
"
2,2,12:00,false,"
7:30.0
S. Curry enters the game for M. Speights 41-39  
"
2,2,7:30.0,true,"
7:30.0
S. Curry enters the game for M. Speights 41-39  
"
2,2,2:30.0,false,"
2:30.0
M. Speights enters the game for S. Curry 60-59  
"
2,3,12:00,true,"
10:48.0
H. Barnes makes 2-pt shot at rim (assist by S. Curry)+266-67  
"
2,4,12:00,false,"
7:08.0
S. Curry enters the game for L. Barbosa 113-100  
"
2,4,7:08.0,true,"
7:08.0
S. Curry enters the game for L. Barbosa 113-100  
"
2,4,0:30.0,false,"
0:30.0
B. Rush enters the game for S. Curry 131-118  
"
3,1,12:00,true,"
11:02.0
  0-0 Turnover by S. Curry (bad pass)
"
3,2,12:00,false,"
6:26.0
  28-35 S. Curry enters the game for S. Livingston
"
3,2,6:26.0,true,"
6:26.0
  28-35 S. Curry enters the game for S. Livingston
"
3,3,2:02.0,false,"
2:02.0
  44-88 S. Livingston enters the game for S. Curry
"
4,1,12:00,true,"
11:17.0
  2-3+3S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes)
"
4,1,9:15.0,false,"
9:15.0
  6-7 S. Livingston enters the game for S. Curry
"
4,2,12:00,true,"
10:48.0
  27-33 Defensive rebound by S. Curry
"
4,2,0:10.0,false,"
0:10.0
  56-63 A. Iguodala enters the game for S. Curry
"
4,3,12:00,true,"
10:39.0
  59-65 S. Curry misses 2-pt shot from 16 ft
"
4,3,2:16.0,false,"
2:16.0
  77-77 L. Barbosa enters the game for S. Curry
"
4,4,8:19.0,true,"
8:19.0
  95-87 S. Curry enters the game for L. Barbosa
"
4,4,00:00,false,game end
5,1,12:00,true,"
11:03.0
  2-2 Defensive rebound by S. Curry
"
