year,award,won,name,movie
1927/28 (1st),ACTOR,false,Richard Barthelmess,The Noose
1927/28 (1st),ACTOR,true,Emil Jannings,The Last Command
1927/28 (1st),ACTRESS,false,Louise Dresser,A Ship Comes In
1927/28 (1st),ACTRESS,true,Janet Gaynor,7th Heaven
1927/28 (1st),ACTRESS,false,Gloria Swanson,Sadie Thompson
1927/28 (1st),ART DIRECTION,false,Rochus Gliese,Sunrise
1927/28 (1st),ART DIRECTION,true,William Cameron Menzies,The Dove; and Tempest
1927/28 (1st),ART DIRECTION,false,Harry Oliver,7th Heaven
1927/28 (1st),CINEMATOGRAPHY,false,George Barnes,The Devil Dancer; The Magic Flame; and Sadie Thompson
1927/28 (1st),CINEMATOGRAPHY,true,Charles Rosher,Sunrise
1927/28 (1st),CINEMATOGRAPHY,true,Karl Struss,Sunrise
1927/28 (1st),DIRECTING (Comedy Picture),true,Lewis Milestone,Two Arabian Knights
1927/28 (1st),DIRECTING (Comedy Picture),false,Ted Wilde,Speedy
1927/28 (1st),DIRECTING (Dramatic Picture),true,Frank Borzage,7th Heaven
1927/28 (1st),DIRECTING (Dramatic Picture),false,Herbert Brenon,Sorrell and Son
1927/28 (1st),DIRECTING (Dramatic Picture),false,King Vidor,The Crowd
1927/28 (1st),ENGINEERING EFFECTS,false,Ralph Hammeras,
1927/28 (1st),ENGINEERING EFFECTS,true,Roy Pomeroy,Wings
1927/28 (1st),ENGINEERING EFFECTS,false,Nugent Slaughter,
1927/28 (1st),OUTSTANDING PICTURE,false,The Caddo Company,The Racket
1927/28 (1st),OUTSTANDING PICTURE,false,Fox,7th Heaven
1927/28 (1st),OUTSTANDING PICTURE,true,Paramount Famous Lasky,Wings
1927/28 (1st),UNIQUE AND ARTISTIC PICTURE,true,Fox,Sunrise
1927/28 (1st),UNIQUE AND ARTISTIC PICTURE,false,Metro-Goldwyn-Mayer,The Crowd
1927/28 (1st),UNIQUE AND ARTISTIC PICTURE,false,Paramount Famous Lasky,Chang
1927/28 (1st),WRITING (Adaptation),false,Alfred Cohn,The Jazz Singer
1927/28 (1st),WRITING (Adaptation),false,Anthony Coldeway,Glorious Betsy
1927/28 (1st),WRITING (Adaptation),true,Benjamin Glazer,7th Heaven
1927/28 (1st),WRITING (Original Story),false,Lajos Biro,The Last Command
1927/28 (1st),WRITING (Original Story),true,Ben Hecht,Underworld
1927/28 (1st),WRITING (Title Writing),false,Gerald Duffy,The Private Life of Helen of Troy
1927/28 (1st),WRITING (Title Writing),true,Joseph Farnham,
1927/28 (1st),WRITING (Title Writing),false,"George Marion, Jr.",
1927/28 (1st),SPECIAL AWARD,true,"To Warner Bros., for producing The Jazz Singer, the pioneer outstanding talking picture, which has revolutionized the industry.",
1927/28 (1st),SPECIAL AWARD,true,"To Charles Chaplin, for acting, writing, directing and producing The Circus.",
1928/29 (2nd),ACTOR,false,George Bancroft,Thunderbolt
1928/29 (2nd),ACTOR,true,Warner Baxter,In Old Arizona
1928/29 (2nd),ACTOR,false,Chester Morris,Alibi
1928/29 (2nd),ACTOR,false,Paul Muni,The Valiant
1928/29 (2nd),ACTOR,false,Lewis Stone,The Patriot
1928/29 (2nd),ACTRESS,false,Ruth Chatterton,Madame X
1928/29 (2nd),ACTRESS,false,Betty Compson,The Barker
1928/29 (2nd),ACTRESS,false,Jeanne Eagels,The Letter
1928/29 (2nd),ACTRESS,false,Corinne Griffith,The Divine Lady
1928/29 (2nd),ACTRESS,false,Bessie Love,The Broadway Melody
1928/29 (2nd),ACTRESS,true,Mary Pickford,Coquette
1928/29 (2nd),ART DIRECTION,false,Hans Dreier,The Patriot
1928/29 (2nd),ART DIRECTION,true,Cedric Gibbons,The Bridge of San Luis Rey
