id,season,age,mp,ws
abdelal01,1990,22,290,0.5
abdelal01,1991,23,934,2.1
abdelal01,1992,24,1311,2.0
abdelal01,1992,24,159,0.1
abdelal01,1992,24,1152,1.9
abdelal01,1993,25,159,-0.1
abdelal01,1994,26,506,0.3
abdelal01,1994,26,476,0.6
abdelal01,1994,26,30,-0.3
abdulka01,1969,22,3534,13.8
abdulka01,1970,23,3288,
abdulka01,1971,24,3583,
abdulka01,1972,25,3254,
abdulka01,1973,26,3548,
abdulka01,1974,27,2747,12.9
abdulka01,1975,28,,
abdulka01,1976,29,3016,
abdulka01,1977,30,2265,12.1
abdulka01,1978,31,3157,
abdulka01,1979,32,3143,
abdulka01,1980,33,2976,
abdulka01,1981,34,2677,10.7
abdulka01,1982,35,2554,10.9
abdulka01,1983,36,2622,8.9
abdulka01,1984,37,2630,11.2
abdulka01,1985,38,2629,10.8
abdulka01,1986,39,2441,7.5
abdulka01,1987,40,2308,5.3
abdulka01,1988,41,1695,2.9
abdulma01,1964,22,919,0.2
abdulma01,1965,23,2198,4.5
abdulma01,1966,24,1642,2.2
abdulma01,1967,25,2666,5.3
abdulma01,1968,26,2420,2.5
abdulma01,1969,27,2757,5.0
abdulma01,1970,28,2877,5.4
abdulma01,1971,29,2389,3.3
abdulma01,1972,30,763,1.1
abdulma01,1972,30,134,-0.1
abdulma01,1972,30,629,1.2
abdulma01,1973,31,571,0.6
abdulma02,1990,21,1505,-1.0
abdulma02,1991,22,1538,0.6
abdulma02,1992,23,2710,5.1
abdulma02,1993,24,2617,6.8
abdulma02,1994,25,2082,5.0
abdulma02,1995,26,2029,5.5
abdulma02,1996,27,2131,2.7
abdulma02,1997,28,530,-0.3
abdulma02,2000,31,486,0.7
abdulta01,1997,23,959,-0.2
abdulta01,1998,24,1205,1.4
abdulta01,1999,25,1578,2.2
abdulta01,1999,25,1205,2.0
abdulta01,1999,25,373,0.2
abdulta01,2000,26,420,-0.4
abdulta01,2001,27,441,0.0
abdulta01,2001,27,417,0.0
abdulta01,2001,27,24,-0.1
abdulta01,2002,28,204,0.4
abdulza01,1968,22,945,-0.3
abdulza01,1968,22,108,-0.1
abdulza01,1968,22,837,-0.2
abdulza01,1969,23,1637,2.0
abdulza01,1970,24,1276,1.8
