id,season,age,g,av
AaitIs00,2013,26,4,0
AbbeJo20,1948,23,12,
AbboFa20,1921,26,9,
abbotvin01,1987,28,12,1
AbbrDu20,1946,29,3,
AbbrJa00,2015,25,9,1
AbdeMe00,2016,25,2,0
AbduAm00,2015,22,16,5
AbduHa20,2005,22,1,0
AbduHu99,2008,23,16,1
AbduIs00,2011,22,16,1
AbduKa00,1996,22,16,8
AbduKh20,2003,24,16,1
AbduRa00,1999,24,15,0
AbduRa20,1999,23,16,5
AbelBu20,1966,26,14,3
AbelFr20,1926,23,3,
AberCl20,1946,25,10,
AberWa00,1982,23,6,1
AbiaVi99,2007,21,6,1
AbouOd00,2014,23,15,4
AbraBo20,1990,23,16,1
AbraCl20,1995,24,6,0
AbraDa00,1967,22,14,6
AbraDo00,1996,23,16,7
AbraGe20,1925,22,10,
AbraJo00,2000,22,6,1
AbraKe20,1997,23,15,3
AbraNa20,1921,23,1,
AbraRo20,1982,22,9,1
AbraSi20,1983,23,14,1
AbreDi20,1920,28,6,
AbruFr20,1931,23,14,
AbruRa20,1962,25,12,0
AbshDi20,1967,23,2,0
AcheSt20,1987,25,3,0
AchiGe20,1985,25,4,0
AchiSn20,1927,25,7,
AchoEm00,2012,22,,0
AchoSa00,2011,23,16,6
AckeBi20,1980,24,16,3
AckeKe00,2015,23,15,5
AckeRi20,1982,23,9,2
AckeTo20,1996,24,2,0
AcksRo20,1968,24,1,1
AcorFr20,1984,23,16,1
AdamAn01,2016,24,14,5
AdamAn20,2003,23,14,2
AdamBi20,1972,22,6,2
AdamBl20,2003,24,8,0
AdamBo00,1969,23,14,1
AdamBr20,1975,23,13,5
AdamCh00,2003,24,4,0
AdamCh20,1939,24,9,
AdamCu00,1985,23,1,0
AdamDa00,2011,21,2,0
AdamDa01,2014,22,16,5
AdamDa20,1987,23,3,0
AdamDo20,1971,22,11,3
AdamEa20,1987,28,3,0
AdamEd20,1965,24,4,3
AdamFl00,1998,23,16,6
AdamGa99,2007,24,16,6
AdamGe00,1985,23,16,7
AdamHe20,1939,24,3,
AdamJa20,2008,23,1,0
AdamJe00,2012,23,,0
AdamJe01,2016,24,13,1
AdamJo00,1959,22,12,
AdamJo01,2012,23,9,0
AdamJo02,2013,24,4,0
AdamJo20,1945,24,10,
AdamJu00,1971,23,14,5
AdamKe00,1960,22,14,5
AdamKe01,2012,24,,0
AdamKe20,2001,22,4,0
AdamKr00,2012,25,3,0
AdamKy00,2011,23,8,0
AdamMi00,1997,23,6,0
AdamMi01,1971,22,8,0
AdamMi02,2012,22,10,3
AdamMi20,1987,23,7,2
AdamMi21,2004,23,8,1
AdamMi98,2007,22,7,0
AdamNe20,1942,23,11,
