id,season,age,ps
aaltoan01,1997,22,-0.1
aaltoan01,1998,23,-0.3
aaltoan01,1999,24,0.7
aaltoan01,2000,25,0.2
abbotre01,1952,22,-0.1
abbotsp01,2013,25,-0.1
abbotsp01,2016,28,0.0
abdelju01,2007,20,0.0
abdelju01,2008,21,0.0
abdelju01,2009,22,-0.3
abdelju01,2010,23,1.7
abdelju01,2011,24,1.6
abdelju01,2012,25,1.7
abdelju01,2013,26,2.6
abdelju01,2014,27,5.6
abdelju01,2015,28,3.8
abdelju01,2016,29,0.5
abelcl01,1926,26,7.6
abelcl01,1927,27,1.6
abelcl01,1928,28,4.2
abelcl01,1929,29,3.7
abelcl01,1930,30,3.2
abelcl01,1931,31,3.9
abelcl01,1932,32,3.5
abelcl01,1933,33,4.5
abelge01,1966,22,0.0
abelsi01,1938,20,-0.2
abelsi01,1939,21,0.0
abelsi01,1940,22,3.2
abelsi01,1941,23,4.2
abelsi01,1942,24,3.6
abelsi01,1945,27,0.0
abelsi01,1946,28,4.3
abelsi01,1947,29,4.2
abelsi01,1948,30,7.3
abelsi01,1949,31,9.2
abelsi01,1950,32,7.3
abelsi01,1951,33,6.2
abelsi01,1952,34,0.4
abelsi01,1953,35,-0.1
abergpo01,2016,23,0.2
abgrade01,1975,22,-0.4
abgrade01,1976,23,
abgrade01,1977,24,
abidra01,2002,22,2.1
abidra01,2002,22,2.3
abidra01,2002,22,-0.3
abidra01,2003,23,0.3
abidra01,2005,25,0.1
abidra01,2006,26,0.2
abrahth01,1974,27,
abrahth01,1975,28,
abrahth01,1976,29,
abrahth01,1980,33,2.5
acciano01,2015,24,-0.4
acciano01,2016,25,0.0
achtyge01,1951,19,0.0
achtyge01,1956,24,-0.1
achtyge01,1957,25,0.6
achtyge01,1958,26,-0.4
acombdo01,1969,20,0.1
actonke01,1979,21,0.0
actonke01,1980,22,2.4
actonke01,1981,23,7.3
actonke01,1982,24,2.9
actonke01,1983,25,3.9
actonke01,1983,25,0.6
actonke01,1983,25,3.3
actonke01,1984,26,3.5
actonke01,1985,27,3.4
actonke01,1986,28,2.1
actonke01,1987,29,0.5
actonke01,1987,29,0.7
actonke01,1987,29,-0.2
actonke01,1988,30,2.2
actonke01,1988,30,1.7
actonke01,1988,30,0.6
actonke01,1989,31,1.1
actonke01,1990,32,1.9
actonke01,1991,33,0.6
actonke01,1992,34,-0.3
actonke01,1993,35,-1.3
actonke01,1993,35,-0.3
actonke01,1993,35,-1.0
actonwi01,2013,26,0.4
actonwi01,2014,27,-0.1
adamdo01,1949,26,0.0
adamlu01,2010,20,0.1
adamlu01,2011,21,2.0
adamlu01,2012,22,0.2
adamlu01,2013,23,0.0
adamlu01,2014,24,0.0
adamru01,1982,21,0.0
adamsbr01,1999,22,-0.1
adamsbr01,2000,23,-0.2
adamscr01,2000,23,-0.3
adamscr01,2001,24,-0.1
adamscr01,2002,25,0.7
adamscr01,2003,26,0.9
adamscr01,2005,28,1.6
adamscr01,2006,29,0.4
adamscr01,2007,30,-0.6
adamscr01,2007,30,-0.3
adamscr01,2007,30,-0.2
adamscr01,2008,31,0.1
adamscr01,2008,31,0.1
adamscr01,2008,31,0.0
adamscr01,2009,32,-0.8
adamscr01,2010,33,0.2
adamscr01,2011,34,0.6
adamscr01,2012,35,0.2
adamscr01,2013,36,-0.6
adamscr01,2014,37,-0.3
adamsgr01,1980,20,0.2
adamsgr01,1981,21,0.7
adamsgr01,1982,22,-0.7
adamsgr01,1983,23,-0.6
adamsgr01,1984,24,0.6
adamsgr01,1985,25,3.8
adamsgr01,1986,26,2.9
adamsgr01,1987,27,1.3
adamsgr01,1988,28,0.2
adamsgr01,1988,28,-0.4
adamsgr01,1988,28,0.5
adamsgr01,1989,29,0.4
adamsgr01,1989,29,0.2
adamsgr01,1989,29,0.2
adamsgr02,1984,21,1.2
adamsgr02,1985,22,5.3
adamsgr02,1986,23,2.7
adamsgr02,1987,24,5.9
adamsgr02,1988,25,1.9
adamsgr02,1989,26,4.3
adamsgr02,1990,27,3.9
adamsgr02,1991,28,5.1
adamsgr02,1992,29,5.4
adamsgr02,1993,30,2.5
adamsgr02,1994,31,1.5
adamsgr02,1994,31,1.1
adamsgr02,1994,31,0.4
adamsgr02,1995,32,3.4
adamsgr02,1996,33,4.8
adamsgr02,1997,34,4.0
adamsgr02,1998,35,4.2
adamsgr02,1999,36,4.5
adamsgr02,2000,37,2.0
adamsja01,1917,23,-0.5
adamsja01,1918,24,-0.3
adamsja01,1922,28,4.1
adamsja01,1923,29,3.6
adamsja01,1924,30,6.7
adamsja01,1925,31,6.5
adamsja01,1926,32,0.7
adamsjo01,1940,20,1.1
adamske01,1997,23,-0.1
adamske01,1998,24,0.0
adamske01,1999,25,0.4
adamske01,2000,26,2.4
adamske01,2000,26,1.3
adamske01,2000,26,1.2
adamske01,2001,27,0.8
adamske01,2001,27,0.7
adamske01,2001,27,0.2
adamske01,2002,28,1.0
adamske01,2003,29,2.4
adamske01,2005,31,1.8
adamske01,2006,32,-0.6
adamske01,2006,32,-0.3
adamske01,2006,32,-0.3
adamske01,2007,33,-0.6
adamsst01,1929,25,0.8
adamsst01,1930,26,1.9
adamsst01,1931,27,-0.2
adamsst01,1932,28,0.0
adduori01,1975,21,-0.1
adduori01,1978,24,
adduori01,1979,25,-0.1
afanadm01,2000,20,0.2
afanadm01,2001,21,-0.1
afanadm01,2003,23,0.7
afanadm01,2005,25,1.0
afanadm01,2006,26,1.0
afanadm01,2006,26,0.2
afanadm01,2006,26,0.8
afflebr01,1974,20,0.9
afflebr01,1975,21,5.1
afflebr01,1976,22,4.1
afflebr01,1977,23,1.7
afflebr01,1978,24,0.4
afflebr01,1979,25,0.2
afflebr01,1983,29,0.0
afinoma01,1999,20,3.7
afinoma01,2000,21,3.5
afinoma01,2001,22,4.4
afinoma01,2002,23,0.5
afinoma01,2003,24,3.6
afinoma01,2005,26,7.4
afinoma01,2006,27,7.1
afinoma01,2007,28,1.6
afinoma01,2008,29,1.4
afinoma01,2009,30,5.7
agnewji01,1986,20,0.1
agnewji01,1987,21,0.4
agnewji01,1989,23,0.2
agnewji01,1990,24,0.0
agnewji01,1991,25,0.7
agnewji01,1992,26,0.5
agostke01,2013,21,0.1
agostke01,2015,23,-0.1
agozzan01,2014,24,0.1
agozzan01,2015,25,0.1
ahernfr01,1974,22,0.3
ahernfr01,1975,23,2.3
ahernfr01,1976,24,0.0
ahernfr01,1977,25,-0.2
ahernfr01,1977,25,-0.6
ahernfr01,1977,25,0.4
ahlinru01,1937,29,0.0
aholape01,1991,23,4.5
aholape01,1992,24,1.5
aholape01,1992,24,0.2
aholape01,1992,24,0.5
aholape01,1992,24,0.8
aholape01,1993,25,0.0
ahose01,2016,19,2.9
ahrench01,1973,21,0.3
ahrench01,1974,22,0.0
ahrench01,1975,23,0.0
ahrench01,1976,24,0.1
ahrench01,1977,25,0.0
ahrench01,1977,25,
ailsbll01,1951,34,0.1
aitkebr01,1987,20,0.1
aitkebr01,1990,23,-0.2
aitkebr01,1990,23,-0.2
aitkebr01,1990,23,0.0
aitkejo01,1999,21,-0.2
aitkejo01,2003,25,0.2
aivazmi01,1993,24,-0.9
aivazmi01,1994,25,-0.5
aivazmi01,1995,26,-0.4
akesoja01,2012,22,0.3
akesoja01,2013,23,0.1
akesoja01,2014,24,-0.2
alatami01,1999,28,1.8
alatami01,2000,29,1.4
albelto01,1987,23,3.7
albelto01,1988,24,5.6
albelto01,1988,24,0.7
albelto01,1988,24,4.9
albelto01,1989,25,4.4
albelto01,1990,26,2.6
albelto01,1991,27,1.2
albelto01,1992,28,1.5
albelto01,1993,29,4.4
albelto01,1994,30,4.2
albelto01,1995,31,4.7
albelto01,1995,31,3.9
albelto01,1995,31,0.8
albelto01,1996,32,4.0
albelto01,1997,33,4.0
albelto01,1998,34,0.6
albelto01,1999,35,2.1
albelto01,2000,36,4.5
albelto01,2001,37,1.3
albelto01,2002,38,2.5
albelto01,2003,39,2.0
albelto01,2005,41,1.6
alberan01,2005,24,1.9
alberan01,2006,25,1.5
alberan01,2007,26,1.2
alberan01,2008,27,2.7
alberan01,2009,28,3.1
alberan01,2009,28,2.7
alberan01,2009,28,0.4
alberan01,2010,29,1.5
alberan01,2011,30,1.4
alberan01,2012,31,-0.1
alberan01,2013,32,0.2
alberjo01,2013,25,0.0
albricl01,1948,22,1.5
aldcoga01,1956,21,0.4
aldcoga01,1957,22,1.4
aldcoga01,1958,23,0.1
aldcoga01,1959,24,4.8
aldcoga01,1960,25,-0.7
aldcoga01,1960,25,-0.6
aldcoga01,1960,25,-0.1
aldrike01,1999,26,0.2
alexaar01,1931,22,-0.1
alexaar01,1932,23,0.0
alexacl01,1974,29,3.7
alexacl01,1975,30,1.6
alexacl01,1976,31,1.9
alexacl01,1977,32,3.4
alexacl01,1978,33,
alexeni01,2001,20,0.2
alexeni01,2002,21,0.1
alexeni01,2006,25,2.0
alexeni01,2006,25,2.0
alexeni01,2006,25,0.0
alfreda01,1995,23,5.3
alfreda01,1996,24,7.4
alfreda01,1997,25,5.6
alfreda01,1998,26,3.2
alfreda01,1999,27,7.1
alfreda01,2000,28,7.7
alfreda01,2001,29,9.3
alfreda01,2002,30,9.2
alfreda01,2003,31,10.4
alfreda01,2005,33,12.3
alfreda01,2006,34,10.0
alfreda01,2007,35,11.5
alfreda01,2008,36,8.1
alfreda01,2009,37,7.9
alfreda01,2010,38,2.7
alfreda01,2011,39,7.5
alfreda01,2012,40,2.7
alfreda01,2013,41,5.8
aliuak01,2011,22,0.7
aliuak01,2012,23,-0.2
allanje01,1977,20,0.1
allanje01,1977,20,
allenbo01,2002,24,0.0
allenbo01,2006,28,0.7
allenbo01,2007,29,0.0
allenbr01,2000,20,0.0
allenbr01,2001,21,0.2
allenbr01,2002,22,2.5
allenbr01,2003,23,1.0
allenbr01,2005,25,4.2
allenbr01,2006,26,4.7
allenbr01,2007,27,3.9
allenbr01,2008,28,0.3
allenbr01,2009,29,2.6
allenbr01,2010,30,3.8
allenbr01,2010,30,2.7
allenbr01,2010,30,1.1
allenbr01,2011,31,3.4
allenbr01,2012,32,1.3
allenbr01,2013,33,2.9
allenbr01,2014,34,0.2
allenbr01,2014,34,0.2
allenbr01,2014,34,0.0
allench01,1997,19,0.0
allench01,1998,20,0.1
allenco01,2013,24,0.0
allenco01,2014,25,-0.1
allenge01,1938,24,1.4
allenge01,1939,25,5.6
allenge01,1940,26,3.0
allenge01,1941,27,3.9
allenge01,1942,28,4.8
allenge01,1943,29,2.5
allenge01,1945,31,5.1
allenge01,1946,32,1.5
allenke01,1953,30,1.1
allenke01,1954,31,1.1
allenpe01,1995,25,0.2
allenvi01,1940,24,-0.2
alleyst01,1977,24,
alleyst01,1978,25,
alleyst01,1979,26,-0.1
alleyst01,1980,27,0.2
allisda01,1983,24,0.0
allisja01,1994,19,0.0
allisja01,1996,21,0.5
allisja01,1997,22,2.4
allisja01,1998,23,1.0
allisja01,1999,24,0.7
allisja01,2000,25,1.7
allisja01,2001,26,0.1
allisja01,2001,26,0.3
allisja01,2001,26,-0.2
allisja01,2002,27,-0.4
allisja01,2003,28,0.4
allisja01,2005,30,-0.1
allisja01,2005,30,-0.2
allisja01,2005,30,0.1
allisja02,1993,18,0.1
allisja02,1994,19,0.1
allisja02,1995,20,-0.3
allisja02,1996,21,2.1
allisja02,1996,21,1.3
allisja02,1996,21,0.8
allisja02,1997,22,11.3
allisja02,1998,23,7.9
allisja02,1999,24,2.9
allisja02,2000,25,9.9
allisja02,2001,26,7.7
allisja02,2002,27,3.1
allisja02,2005,30,4.7
allismi01,1980,19,4.5
allismi01,1981,20,0.5
allismi01,1982,21,1.3
allismi01,1983,22,0.9
allismi01,1984,23,1.5
allismi01,1985,24,0.6
allismi01,1986,25,0.6
allismi01,1987,26,2.2
allismi01,1987,26,-0.2
allismi01,1987,26,2.4
allismi01,1988,27,2.1
allismi01,1989,28,-0.7
allisra01,1979,20,1.3
allisra01,1980,21,0.0
allisra01,1981,22,3.6
allisra01,1982,23,3.8
allisra01,1983,24,1.2
allisra01,1984,25,0.0
allisra01,1986,27,-0.1
allumbi01,1940,24,0.2
almonco01,2009,20,0.0
almonco01,2010,21,-0.1
almonco01,2011,22,-0.1
almqvad01,2013,22,0.2
altma01,2014,23,-0.1
alzneka01,2008,20,0.9
alzneka01,2009,21,0.2
alzneka01,2010,22,4.6
alzneka01,2011,23,4.4
alzneka01,2012,24,0.7
alzneka01,2013,25,3.0
alzneka01,2014,26,5.4
alzneka01,2015,27,5.4
alzneka01,2016,28,3.1
amadida01,1957,18,0.1
amadida01,1967,28,2.5
amadida01,1968,29,2.0
ambrope01,1994,23,-0.2
amodemi01,1972,20,
amodemi01,1973,21,
amodemi01,1974,22,
amodemi01,1975,23,
amodemi01,1977,25,
amodemi01,1978,26,
amodemi01,1979,27,0.0
amontto01,1991,21,6.3
amontto01,1992,22,6.2
amontto01,1993,23,3.0
amontto01,1993,23,2.9
amontto01,1993,23,0.1
amontto01,1994,24,3.6
amontto01,1995,25,6.0
amontto01,1996,26,10.1
amontto01,1997,27,9.5
amontto01,1998,28,9.3
amontto01,1999,29,10.3
amontto01,2000,30,6.6
amontto01,2001,31,7.3
amontto01,2002,32,5.2
amontto01,2002,32,2.7
amontto01,2002,32,2.6
amontto01,2003,33,6.5
amontto01,2005,35,3.7
amontto01,2006,36,1.7
anderda01,1956,24,0.7
anderea01,1974,23,0.1
anderea01,1974,23,-0.1
anderea01,1974,23,0.2
anderea01,1975,24,-0.1
anderea01,1976,25,1.4
anderer01,1997,26,0.1
andergl01,1980,20,4.3
andergl01,1981,21,8.0
andergl01,1982,22,9.5
andergl01,1983,23,8.8
andergl01,1984,24,6.6
andergl01,1985,25,8.9
andergl01,1986,26,6.2
andergl01,1987,27,6.9
andergl01,1988,28,3.2
andergl01,1989,29,5.9
andergl01,1990,30,4.0
andergl01,1991,31,4.4
andergl01,1992,32,5.4
andergl01,1993,33,2.9
andergl01,1993,33,2.4
andergl01,1993,33,0.6
andergl01,1994,34,2.6
andergl01,1995,35,0.6
andergl01,1995,35,0.8
andergl01,1995,35,-0.2
anderji01,1967,37,0.1
anderjo01,1977,20,-0.1
anderjo01,1978,21,1.4
anderjo01,1979,22,4.1
anderjo01,1980,23,1.9
anderjo01,1981,24,4.4
anderjo01,1982,25,5.9
anderjo01,1983,26,5.2
anderjo01,1984,27,4.6
anderjo01,1985,28,5.5
anderjo01,1985,28,3.1
anderjo01,1985,28,2.4
anderjo01,1986,29,6.4
anderjo01,1987,30,3.5
anderjo01,1988,31,3.0
anderjo02,2001,20,-0.2
anderjo02,2010,29,0.0
anderjo03,2011,22,0.0
anderjo03,2012,23,0.6
anderjo03,2013,24,0.8
anderjo03,2014,25,-0.3
anderjo03,2015,26,0.1
anderjo05,2014,20,-0.1
anderjo05,2015,21,0.3
anderjo05,2016,22,2.4
anderke01,1977,26,1.8
anderke01,1978,27,0.6
anderke01,1979,28,0.4
anderke01,1980,29,2.5
anderke01,1981,30,0.0
anderke01,1982,31,0.8
anderke01,1983,32,0.2
anderma01,2012,30,0.1
andermi01,1985,19,0.0
andermi01,1986,20,-0.3
andermi01,1987,21,1.2
andermi01,1988,22,-0.3
andermi01,1989,23,2.5
andermi01,1990,24,0.3
andermi01,1991,25,3.8
andermi01,1992,26,1.1
andermi01,1993,27,1.9
andermi01,1994,28,0.5
andermi01,1995,29,0.9
andermi01,1996,30,0.6
andermi01,1997,31,0.7
andermi01,1998,32,-0.3
andermi01,1998,32,-0.3
andermi01,1998,32,0.0
andermi01,1999,33,0.1
andermi01,1999,33,0.1
andermi01,1999,33,0.0
andermu01,1974,25,-0.8
anderni01,1992,21,0.0
anderni01,1995,24,2.3
anderni01,1996,25,3.6
anderni01,1997,26,-0.2
anderni01,1999,28,0.8
anderni01,1999,28,0.9
anderni01,1999,28,0.0
anderni01,2000,29,-0.1
anderpe01,1981,20,0.2
anderpe01,1982,21,0.3
anderpe01,1983,22,-0.3
anderpe01,1984,23,0.1
anderpe01,1985,24,0.2
anderpe01,1986,25,0.3
anderpe01,1987,26,-0.7
anderpe01,1988,27,0.0
anderpe01,1990,29,0.0
anderpe01,1991,30,-0.3
anderpe02,1983,21,3.6
anderpe02,1984,22,3.1
anderpe02,1985,23,5.4
anderpe02,1985,23,3.9
anderpe02,1985,23,1.5
anderpe03,1992,27,2.4
anderpe03,1993,28,0.6
anderpe03,1993,28,0.3
anderpe03,1993,28,0.2
anderro01,1967,22,-0.4
anderro01,1968,23,-1.2
anderro01,1968,23,-0.3
anderro01,1968,23,-0.9
anderro01,1969,24,1.3
anderro01,1970,25,1.3
anderro01,1971,26,-0.8
anderro01,1972,27,
anderro01,1973,28,
anderro02,1974,25,0.8
anderru01,1976,21,4.3
anderru01,1977,22,3.7
anderru01,1978,23,3.9
anderru01,1979,24,5.7
anderru01,1980,25,3.1
anderru01,1981,26,1.4
anderru01,1981,26,0.9
anderru01,1981,26,0.5
anderru01,1982,27,0.4
anderru01,1983,28,1.8
anderru01,1984,29,0.5
andersh01,1986,18,2.2
andersh01,1987,19,0.7
andersh01,1988,20,2.2
andersh01,1989,21,1.1
andersh01,1990,22,2.0
andersh01,1992,24,2.6
andersh01,1993,25,2.2
andersh01,1994,26,0.0
anderto01,1934,24,0.5
anderto01,1935,25,0.1
anderto01,1936,26,2.4
anderto01,1937,27,1.9
anderto01,1938,28,3.7
anderto01,1939,29,6.0
anderto01,1940,30,1.6
anderto01,1941,31,5.9
andrean01,2014,23,0.4
andrean01,2015,24,1.2
andrean01,2016,25,-0.1
andreda01,1982,19,2.7
andreda01,1983,20,6.9
andreda01,1984,21,4.9
andreda01,1985,22,6.7
andreda01,1986,23,5.3
andreda01,1987,24,5.9
andreda01,1988,25,4.4
andreda01,1989,26,7.4
andreda01,1990,27,6.8
andreda01,1991,28,8.2
andreda01,1992,29,9.5
andreda01,1992,29,5.2
andreda01,1992,29,4.4
andreda01,1993,30,11.4
andreda01,1994,31,4.2
andreda01,1995,32,5.4
andreda01,1995,32,3.8
andreda01,1995,32,1.6
andreda01,1996,33,7.5
andreda01,1997,34,5.3
andreda01,1998,35,3.1
andreda01,1999,36,2.7
andreda01,1999,36,3.0
andreda01,1999,36,-0.3
andreda01,2000,37,4.1
andreda01,2001,38,4.0
andreda01,2002,39,3.3
andreda01,2003,40,3.8
andreda01,2005,42,0.9
andrell01,1921,27,-0.6
andrell01,1922,28,0.3
andrell01,1923,29,0.0
andrell01,1924,30,-0.1
andrepa01,1965,24,0.1
andrepa01,1967,26,2.2
andrepa01,1968,27,0.8
andrepa01,1970,29,1.8
andrepa01,1970,29,-0.2
andrepa01,1970,29,2.1
andrepa01,1972,31,
andrepa01,1973,32,
andrial01,1992,24,0.0
andrisv01,2014,21,0.4
andrisv01,2015,22,1.7
andrisv01,2016,23,0.9
andrugr01,1993,24,0.0
andrugr01,1994,25,0.3
andrugr01,1995,26,-0.1
andrugr01,1998,29,0.5
andrugr01,1999,30,0.3
andruro01,1974,21,-0.2
andruro01,1975,22,0.0
andruro01,1976,23,0.0
andruro01,1977,24,1.4
andruro01,1978,25,-0.2
angelme01,2003,31,0.0
angelmi01,2011,26,0.1
angelmi01,2012,27,0.0
angelmi01,2014,29,0.0
angelmi01,2015,30,0.3
angotlo01,1964,27,-0.1
angotlo01,1965,28,0.5
angotlo01,1965,28,-0.3
angotlo01,1965,28,0.8
angotlo01,1966,29,0.5
angotlo01,1967,30,4.0
angotlo01,1968,31,2.4
angotlo01,1969,32,2.5
angotlo01,1970,33,1.4
angotlo01,1971,34,-0.2
angotlo01,1972,35,1.6
angotlo01,1973,36,2.6
angotlo01,1974,37,
anholda01,1983,21,0.1
anisiar01,2008,20,0.0
anisiar01,2009,21,2.6
anisiar01,2010,22,4.8
anisiar01,2011,23,4.4
anisiar01,2012,24,2.1
anisiar01,2013,25,4.6
anisiar01,2014,26,2.0
anisiar01,2015,27,4.9
anisiar01,2016,28,4.6
anslohu01,1947,21,-0.1
antonmi01,1972,21,
antonmi01,1973,22,
antonmi01,1974,23,
antonmi01,1975,24,
antonmi01,1975,24,-0.3
antonmi01,1976,25,
antonmi01,1976,25,
antonmi01,1976,25,
antonmi01,1976,25,
antonmi01,1977,26,
antonmi01,1978,27,
antonmi01,1979,28,-0.1
antonmi01,1981,30,-0.1
antonmi01,1982,31,0.7
antonmi01,1983,32,-0.4
antossh01,1990,20,-0.1
antossh01,1991,21,-0.1
antossh01,1992,22,-0.1
antossh01,1993,23,-1.4
antossh01,1994,24,-1.0
antossh01,1994,24,-0.3
antossh01,1994,24,-0.7
antossh01,1995,25,-1.4
antossh01,1996,26,-0.4
antossh01,1996,26,-0.4
antossh01,1996,26,0.0
antossh01,1997,27,0.0
antroni01,1999,19,3.4
antroni01,2000,20,1.6
antroni01,2001,21,0.1
antroni01,2002,22,5.0
antroni01,2003,23,3.4
antroni01,2005,25,3.1
antroni01,2006,26,3.7
antroni01,2007,27,6.5
antroni01,2008,28,5.9
antroni01,2008,28,4.3
antroni01,2008,28,1.6
antroni01,2009,29,7.6
antroni01,2010,30,3.5
antroni01,2011,31,3.5
antroni01,2012,32,1.8
appssy01,1936,22,6.1
appssy01,1937,23,6.6
appssy01,1938,24,4.8
appssy01,1939,25,4.2
appssy01,1940,26,6.0
appssy01,1941,27,4.3
appssy01,1942,28,4.0
appssy01,1945,31,4.6
appssy01,1946,32,5.5
appssy01,1947,33,6.3
appssy02,1970,23,1.8
appssy02,1970,23,-0.5
appssy02,1970,23,2.3
appssy02,1971,24,5.3
appssy02,1972,25,8.1
appssy02,1973,26,8.0
appssy02,1974,27,5.9
appssy02,1975,28,8.2
appssy02,1976,29,4.9
appssy02,1977,30,3.6
appssy02,1977,30,0.3
appssy02,1977,30,3.2
appssy02,1978,31,0.6
appssy02,1979,32,0.1
arboual01,1953,21,2.3
arboual01,1956,24,3.3
arboual01,1957,25,3.1
arboual01,1958,26,3.8
arboual01,1959,27,3.5
arboual01,1960,28,3.6
arboual01,1961,29,3.5
arboual01,1962,30,0.4
arboual01,1963,31,0.4
arboual01,1965,33,0.3
arboual01,1967,35,4.6
arboual01,1968,36,5.3
arboual01,1969,37,3.7
arboual01,1970,38,1.5
arbouam01,1918,24,-0.1
arbouam01,1919,25,2.9
arbouam01,1920,26,2.1
arbouam01,1921,27,1.0
arbouam01,1922,28,0.1
arbouam01,1923,29,-0.5
arbouja01,1926,27,2.7
arbouja01,1928,29,1.0
arboujo01,1965,20,0.0
arboujo01,1967,22,0.2
arboujo01,1968,23,0.1
arboujo01,1970,25,2.9
arboujo01,1970,25,0.0
arboujo01,1970,25,2.9
arboujo01,1971,26,0.3
arboujo01,1972,27,
arboujo01,1973,28,
arboujo01,1974,29,
arboujo01,1975,30,
arboujo01,1975,30,
arboujo01,1975,30,
arboujo01,1976,31,
arboujo01,1976,31,
arboujo01,1976,31,
arbouty01,1926,30,2.5
arbouty01,1927,31,0.5
arbouty01,1927,31,-0.3
arbouty01,1927,31,0.8
arbouty01,1928,32,0.0
