year,date,away,awayPoints,home,homePoints,ot
1950,"Mon, Mar 20, 1950",CHS,69,FTW,86,
1950,"Tue, Mar 21, 1950",TRI,77,AND,89,
1950,"Tue, Mar 21, 1950",SHE,85,INO,86,
1950,"Tue, Mar 21, 1950",MNL,78,ROC,76,
1950,"Tue, Mar 21, 1950",NYK,90,WSC,87,
1950,"Wed, Mar 22, 1950",CHS,75,MNL,85,
1950,"Wed, Mar 22, 1950",WSC,83,NYK,103,
1950,"Wed, Mar 22, 1950",PHW,76,SYR,93,
1950,"Thu, Mar 23, 1950",SYR,59,PHW,53,
1950,"Thu, Mar 23, 1950",FTW,90,ROC,84,
1950,"Thu, Mar 23, 1950",INO,85,SHE,95,
1950,"Thu, Mar 23, 1950",AND,75,TRI,76,
1950,"Fri, Mar 24, 1950",TRI,71,AND,94,
1950,"Fri, Mar 24, 1950",ROC,78,FTW,79,OT
1950,"Sat, Mar 25, 1950",MNL,75,CHS,67,
1950,"Sat, Mar 25, 1950",SHE,84,INO,91,
1950,"Sun, Mar 26, 1950",NYK,83,SYR,91,OT
1950,"Mon, Mar 27, 1950",FTW,79,MNL,93,
1950,"Tue, Mar 28, 1950",MNL,89,FTW,82,
1950,"Tue, Mar 28, 1950",AND,74,INO,77,
1950,"Thu, Mar 30, 1950",INO,67,AND,84,
1950,"Thu, Mar 30, 1950",SYR,76,NYK,80,
1950,"Sat, Apr 1, 1950",AND,67,INO,65,
1950,"Sun, Apr 2, 1950",NYK,80,SYR,91,
1950,"Wed, Apr 5, 1950",AND,50,MNL,75,
1950,"Thu, Apr 6, 1950",MNL,90,AND,71,
1950,"Sat, Apr 8, 1950",MNL,68,SYR,66,
1950,"Sun, Apr 9, 1950",MNL,85,SYR,91,
1950,"Fri, Apr 14, 1950",SYR,77,MNL,91,
1950,"Sun, Apr 16, 1950",SYR,69,MNL,77,
1950,"Thu, Apr 20, 1950",MNL,76,SYR,83,
1950,"Sun, Apr 23, 1950",SYR,95,MNL,110,
1951,"Tue, Mar 20, 1951",NYK,83,BOS,69,
1951,"Tue, Mar 20, 1951",SYR,91,PHW,89,OT
1951,"Tue, Mar 20, 1951",FTW,81,ROC,110,
1951,"Wed, Mar 21, 1951",INO,81,MNL,95,
1951,"Thu, Mar 22, 1951",ROC,78,FTW,83,
1951,"Thu, Mar 22, 1951",BOS,78,NYK,92,
1951,"Thu, Mar 22, 1951",PHW,78,SYR,90,
1951,"Fri, Mar 23, 1951",MNL,88,INO,108,
1951,"Sat, Mar 24, 1951",FTW,78,ROC,97,
1951,"Sun, Mar 25, 1951",INO,80,MNL,85,
1951,"Wed, Mar 28, 1951",SYR,92,NYK,103,
1951,"Thu, Mar 29, 1951",ROC,73,MNL,76,
1951,"Thu, Mar 29, 1951",NYK,80,SYR,102,
1951,"Sat, Mar 31, 1951",ROC,70,MNL,66,
1951,"Sat, Mar 31, 1951",SYR,75,NYK,77,OT
1951,"Sun, Apr 1, 1951",MNL,70,ROC,83,
1951,"Sun, Apr 1, 1951",NYK,83,SYR,90,
1951,"Tue, Apr 3, 1951",MNL,75,ROC,80,
1951,"Wed, Apr 4, 1951",SYR,81,NYK,83,
1951,"Sat, Apr 7, 1951",NYK,65,ROC,92,
1951,"Sun, Apr 8, 1951",NYK,84,ROC,99,
1951,"Wed, Apr 11, 1951",ROC,78,NYK,71,
1951,"Fri, Apr 13, 1951",ROC,73,NYK,79,
1951,"Sun, Apr 15, 1951",NYK,92,ROC,89,
1951,"Wed, Apr 18, 1951",ROC,73,NYK,80,
1951,"Sat, Apr 21, 1951",NYK,75,ROC,79,
1952,"Tue, Mar 18, 1952",FTW,78,ROC,95,
1952,"Wed, Mar 19, 1952",NYK,94,BOS,105,
1952,"Thu, Mar 20, 1952",ROC,92,FTW,86,
1952,"Thu, Mar 20, 1952",PHW,83,SYR,102,
1952,"Sat, Mar 22, 1952",SYR,95,PHW,100,
1952,"Sun, Mar 23, 1952",INO,70,MNL,78,
1952,"Sun, Mar 23, 1952",BOS,97,NYK,101,
1952,"Sun, Mar 23, 1952",PHW,73,SYR,84,
1952,"Tue, Mar 25, 1952",MNL,94,INO,87,
1952,"Wed, Mar 26, 1952",NYK,88,BOS,87,2OT
1952,"Sat, Mar 29, 1952",MNL,78,ROC,88,
1952,"Sun, Mar 30, 1952",MNL,83,ROC,78,OT
1952,"Wed, Apr 2, 1952",NYK,87,SYR,85,
1952,"Thu, Apr 3, 1952",NYK,92,SYR,102,
1952,"Sat, Apr 5, 1952",ROC,67,MNL,77,
1952,"Sat, Apr 5, 1952",SYR,92,NYK,99,
1952,"Sun, Apr 6, 1952",ROC,80,MNL,82,
1952,"Tue, Apr 8, 1952",SYR,93,NYK,100,
1952,"Sat, Apr 12, 1952",NYK,79,MNL,83,OT
1952,"Sun, Apr 13, 1952",NYK,80,MNL,72,
1952,"Wed, Apr 16, 1952",MNL,82,NYK,77,
1952,"Fri, Apr 18, 1952",MNL,89,NYK,90,OT
1952,"Sun, Apr 20, 1952",NYK,89,MNL,102,
1952,"Wed, Apr 23, 1952",MNL,68,NYK,76,
1952,"Fri, Apr 25, 1952",NYK,65,MNL,82,
1954,"Tue, Mar 16, 1954",BOS,93,NYK,71,
1954,"Tue, Mar 16, 1954",FTW,75,ROC,82,
1954,"Wed, Mar 17, 1954",SYR,96,BOS,95,OT
1954,"Wed, Mar 17, 1954",ROC,88,MNL,109,
1954,"Thu, Mar 18, 1954",MNL,90,FTW,85,
1954,"Thu, Mar 18, 1954",NYK,68,SYR,75,
1954,"Sat, Mar 20, 1954",NYK,78,BOS,79,
1954,"Sat, Mar 20, 1954",FTW,73,MNL,78,
1954,"Sun, Mar 21, 1954",ROC,89,FTW,71,
1954,"Sun, Mar 21, 1954",SYR,103,NYK,99,
1954,"Mon, Mar 22, 1954",BOS,85,SYR,98,
1954,"Wed, Mar 24, 1954",ROC,76,MNL,89,
1954,"Thu, Mar 25, 1954",BOS,94,SYR,109,
1954,"Sat, Mar 27, 1954",SYR,83,BOS,76,
1954,"Sat, Mar 27, 1954",MNL,73,ROC,74,
1954,"Sun, Mar 28, 1954",ROC,72,MNL,82,
1954,"Wed, Mar 31, 1954",SYR,68,MNL,79,
1954,"Sat, Apr 3, 1954",SYR,62,MNL,60,
1954,"Sun, Apr 4, 1954",MNL,81,SYR,67,
1954,"Thu, Apr 8, 1954",MNL,69,SYR,80,
1954,"Sat, Apr 10, 1954",MNL,84,SYR,73,
1954,"Sun, Apr 11, 1954",SYR,65,MNL,63,
1954,"Mon, Apr 12, 1954",SYR,80,MNL,87,
1953,"Tue, Mar 17, 1953",BLB,62,NYK,80,
1953,"Thu, Mar 19, 1953",BOS,87,SYR,81,
1953,"Fri, Mar 20, 1953",NYK,90,BLB,81,
1953,"Fri, Mar 20, 1953",FTW,84,ROC,77,
1953,"Sat, Mar 21, 1953",SYR,105,BOS,111,4OT
1953,"Sun, Mar 22, 1953",ROC,83,FTW,71,
1953,"Sun, Mar 22, 1953",INO,69,MNL,85,
1953,"Mon, Mar 23, 1953",MNL,81,INO,79,
1953,"Tue, Mar 24, 1953",FTW,67,ROC,65,
1953,"Wed, Mar 25, 1953",BOS,91,NYK,95,
1953,"Thu, Mar 26, 1953",NYK,70,BOS,86,
1953,"Thu, Mar 26, 1953",FTW,73,MNL,83,
1953,"Sat, Mar 28, 1953",FTW,75,MNL,82,
1953,"Sat, Mar 28, 1953",BOS,82,NYK,101,
1953,"Sun, Mar 29, 1953",NYK,82,BOS,75,
1953,"Mon, Mar 30, 1953",MNL,95,FTW,98,
1953,"Wed, Apr 1, 1953",MNL,82,FTW,85,
1953,"Thu, Apr 2, 1953",FTW,58,MNL,74,
1953,"Sat, Apr 4, 1953",NYK,96,MNL,88,
1953,"Sun, Apr 5, 1953",NYK,71,MNL,73,
1953,"Tue, Apr 7, 1953",MNL,90,NYK,75,
1953,"Wed, Apr 8, 1953",MNL,71,NYK,69,
1953,"Fri, Apr 10, 1953",MNL,91,NYK,84,
1956,"Thu, Mar 15, 1956",NYK,77,SYR,82,
1956,"Fri, Mar 16, 1956",MNL,103,STL,97,
1956,"Sat, Mar 17, 1956",SYR,93,BOS,110,
1956,"Sat, Mar 17, 1956",MNL,115,STL,116,
1956,"Mon, Mar 19, 1956",STL,75,MNL,133,
1956,"Mon, Mar 19, 1956",BOS,98,SYR,101,
1956,"Wed, Mar 21, 1956",SYR,102,BOS,97,
1956,"Wed, Mar 21, 1956",STL,116,MNL,115,
1956,"Thu, Mar 22, 1956",STL,86,FTW,85,
1956,"Fri, Mar 23, 1956",SYR,87,PHW,109,
