zip,value
10001,18
10002,18
10003,18
10004,18
10005,18
10006,18
10007,18
10009,18
10010,18
10011,18
10012,18
10013,18
10014,18
10016,18
10017,27
10018,18
10019,27
10020,27
10021,27
10022,27
10023,27
10024,27
10025,27
10026,27
10027,27
10028,27
10029,27
10031,27
10035,27
10036,27
10038,18
10044,51
10065,27
10069,27
10075,27
10103,27
10105,27
10106,27
10107,27
10110,27
10111,27
10112,27
10115,27
10118,18
10119,18
10128,27
10152,27
10153,27
10154,27
10155,27
10162,27
10165,27
10167,27
10168,27
10169,27
10170,27
10171,27
10172,27
10174,27
10175,27
10176,27
10177,27
10199,18
10271,18
10274,18
10278,18
10279,18
10280,18
10281,18
10282,18
11001,86
11002,86
11003,86
11010,86
11020,86
11021,86
11023,86
11024,86
11030,86
11040,86
11042,86
11101,51
11102,51
11103,51
11104,51
11105,51
11106,51
11109,51
11120,97
11201,34
11205,34
11206,34
11211,34
11213,34
11215,34
11216,34
11217,34
11218,34
11220,34
11221,34
11222,34
11225,34
11226,34
11231,34
11232,34
11237,34
11238,34
11243,34
11249,34
11351,97
11352,97
11354,97
11355,97
11356,97
11357,97
11358,97
11359,97
11360,97
11361,97
11362,97
11363,97
11364,97
11365,97
11366,97
11367,97
11368,97
11369,97
11370,97
11371,97
11372,97
11373,97
11374,97
11375,97
11377,51
11378,97
11379,97
11380,97
11381,97
11385,97
11386,97
11390,97
11405,97
11411,97
11412,97
11413,97
11414,97
11415,97
11416,97
11417,97
11418,97
11419,97
11420,97
11421,97
11422,97
11423,97
11424,97
11425,97
11426,97
11427,97
11428,97
11429,97
11430,97
11431,97
11432,97
11433,97
11434,97
11435,97
11436,97
11439,97
11451,97
11499,97
11501,86
11507,86
11510,86
11514,86
11516,86
11518,86
11520,86
11530,86
11547,86
11550,86
11552,86
11553,86
11557,86
11558,86
11559,86
11561,86
11563,86
11565,86
11570,86
11572,86
11575,86
11576,86
11577,86
11580,86
11581,86
11596,86
11598,86
11690,97
11691,97
11692,97
11693,97
11694,97
11695,97
11697,97
18936,48
19001,35
19002,48
19003,17
19004,17
19006,35
19009,35
19010,17
19012,35
19020,35
19025,35
19026,17
19027,35
19031,35
19034,35
19035,17
19038,35
19041,17
19046,35
19050,17
19066,17
19072,17
19075,35
19082,17
19083,17
19085,17
19087,48
19090,35
19095,35
19096,17
19102,17
19103,17
19104,17
19106,17
19107,17
19109,17
19111,35
19112,17
19114,35
19115,35
19116,35
19118,17
19119,17
19120,35
19121,17
19122,17
19123,17
19124,35
19125,17
19126,35
19127,17
19128,17
19129,17
19130,17
19131,17
19132,17
19133,17
19134,17
19135,35
19136,35
19137,35
19138,35
19139,17
19140,17
19141,35
19142,17
19143,17
19144,17
19145,17
19146,17
19147,17
19148,17
19149,35
19150,35
19151,17
19152,35
19153,17
19154,35
19301,48
19312,48
19333,48
19355,48
19401,48
19403,48
19405,48
19406,48
19422,48
19426,48
19428,48
19436,48
19437,48
19444,48
19446,48
19453,48
19454,48
19460,48
19462,48
20001,16
20002,16
20003,16
20004,16
20005,16
20006,16
20007,16
20008,16
20009,16
20010,16
20011,16
20012,16
20013,16
20015,16
20016,16
20017,16
20018,16
20019,16
20020,16
20022,16
20023,16
20024,16
20026,16
20027,16
20029,16
20030,16
20032,16
20033,16
20034,16
20035,16
20036,16
20037,16
20038,16
20039,16
20040,16
20041,16
20042,16
20043,16
20044,16
20045,16
20046,16
20047,16
20049,16
20050,16
20051,16
20052,16
20053,16
20055,16
20056,16
20057,16
20058,16
20059,16
20060,16
20061,16
20062,16
20063,16
20064,16
20065,16
20066,16
20067,16
20068,16
20069,16
20070,16
20071,16
20073,16
20074,16
20075,16
20076,16
20077,16
20078,16
20080,16
20081,16
20082,16
20088,16
20090,16
20091,16
20097,16
20098,16
20201,16
20202,16
20203,16
20204,16
20206,16
20207,16
20208,16
20210,16
20211,16
20212,16
20213,16
20214,16
20215,16
20216,16
20217,16
20218,16
20219,16
20220,16
20221,16
20222,16
20223,16
20224,16
20226,16
20227,16
20228,16
20229,16
20230,16
20232,16
20233,16
20235,16
20237,16
20238,16
20239,16
20240,16
20241,16
20242,16
20244,16
20245,16
20250,16
20251,16
20254,16
20260,16
20261,16
20262,16
20265,16
20266,16
20268,16
20270,16
20277,16
20289,16
20299,16
20301,16
20303,16
20306,16
20307,16
20310,16
20314,16
20317,16
20318,16
20319,16
20330,16
20340,16
20350,16
20355,16
20370,16
20372,16
20373,16
20374,16
20375,16
20376,16
20380,16
20388,16
20389,16
20390,16
20391,16
20392,16
20393,16
20394,16
20395,16
20398,16
20401,16
20402,16
20403,16
20404,16
20405,16
20406,16
20407,16
20408,16
20409,16
20410,16
20411,16
20412,16
20413,16
20414,16
20415,16
20416,16
20417,16
20418,16
20419,16
20420,16
20421,16
20422,16
20423,16
20424,16
20425,16
20426,16
20427,16
20428,16
20429,16
20431,16
20433,16
20434,16
20435,16
20436,16
20437,16
20439,16
20440,16
20441,16
20442,16
20444,16
20447,16
20451,16
20453,16
20456,16
20460,16
20463,16
20468,16
20469,16
20470,16
20472,16
20500,16
20501,16
20502,16
20503,16
20504,16
20505,16
20506,16
20507,16
20508,16
20509,16
20510,16
20511,16
20515,16
20520,16
20521,16
20522,16
20523,16
20524,16
20525,16
20526,16
20527,16
20528,16
20529,16
20530,16
20531,16
20532,16
20533,16
20534,16
20535,16
20536,16
20537,16
20538,16
20539,16
20540,16
20541,16
20542,16
20543,16
20544,16
20546,16
20547,16
20548,16
20549,16
20551,16
20552,16
20553,16
20554,16
20555,16
20557,16
20558,16
20559,16
20560,16
20565,16
20566,16
20570,16
20571,16
20572,16
20573,16
20575,16
20576,16
20577,16
20578,16
20579,16
20580,16
20581,16
20585,16
20586,16
20590,16
20591,16
20593,16
20594,16
20597,16
20599,16
20814,37
20815,37
20816,37
20817,37
20818,37
20850,37
20851,37
20852,37
20853,37
20854,37
20878,37
20895,37
20896,37
20901,37
20902,37
20906,37
20910,37
20912,37
22027,47
22041,47
22042,47
22043,47
22044,47
22046,47
22101,47
22201,47
22202,47
22203,47
22204,47
22205,47
22206,47
22207,47
22209,47
22211,47
22213,47
22301,47
22302,47
22303,47
22304,47
22305,47
22311,47
22314,47
30002,43
30004,73
30005,73
30008,50
30009,73
30022,73
30030,43
30032,43
30033,43
30060,50
30062,50
30067,50
30068,50
30075,73
30076,73
30079,43
30080,50
30082,50
30303,43
30305,43
30306,43
30307,43
30308,43
