Id,zip,Geography,Estimate; Total,Margin of Error; Total,sameDay,oneHour,twoHour
8600000US00601,00601,ZCTA5 00601,18450,290,false,false,false
8600000US00602,00602,ZCTA5 00602,41302,163,false,false,false
8600000US00603,00603,ZCTA5 00603,53683,897,false,false,false
8600000US00606,00606,ZCTA5 00606,6591,296,false,false,false
8600000US00610,00610,ZCTA5 00610,28963,186,false,false,false
8600000US00612,00612,ZCTA5 00612,68055,1285,false,false,false
8600000US00616,00616,ZCTA5 00616,10183,873,false,false,false
8600000US00617,00617,ZCTA5 00617,24879,144,false,false,false
8600000US00622,00622,ZCTA5 00622,6165,1068,false,false,false
8600000US00623,00623,ZCTA5 00623,44704,1068,false,false,false
8600000US00624,00624,ZCTA5 00624,25340,400,false,false,false
8600000US00627,00627,ZCTA5 00627,34806,*****,false,false,false
8600000US00631,00631,ZCTA5 00631,1747,397,false,false,false
8600000US00637,00637,ZCTA5 00637,24996,34,false,false,false
8600000US00638,00638,ZCTA5 00638,18742,175,false,false,false
8600000US00641,00641,ZCTA5 00641,30401,437,false,false,false
8600000US00646,00646,ZCTA5 00646,38303,*****,false,false,false
8600000US00647,00647,ZCTA5 00647,5640,710,false,false,false
8600000US00650,00650,ZCTA5 00650,14969,461,false,false,false
8600000US00652,00652,ZCTA5 00652,3461,582,false,false,false
8600000US00653,00653,ZCTA5 00653,13461,703,false,false,false
8600000US00656,00656,ZCTA5 00656,21172,50,false,false,false
8600000US00659,00659,ZCTA5 00659,41932,*****,false,false,false
8600000US00660,00660,ZCTA5 00660,17151,*****,false,false,false
8600000US00662,00662,ZCTA5 00662,43535,477,false,false,false
8600000US00664,00664,ZCTA5 00664,16508,104,false,false,false
8600000US00667,00667,ZCTA5 00667,25797,207,false,false,false
8600000US00669,00669,ZCTA5 00669,28984,408,false,false,false
8600000US00670,00670,ZCTA5 00670,9689,95,false,false,false
8600000US00674,00674,ZCTA5 00674,43848,312,false,false,false
8600000US00676,00676,ZCTA5 00676,39916,108,false,false,false
8600000US00677,00677,ZCTA5 00677,15108,23,false,false,false
8600000US00678,00678,ZCTA5 00678,27229,435,false,false,false
8600000US00680,00680,ZCTA5 00680,56003,1600,false,false,false
8600000US00682,00682,ZCTA5 00682,32509,1493,false,false,false
8600000US00683,00683,ZCTA5 00683,33442,410,false,false,false
8600000US00685,00685,ZCTA5 00685,41947,463,false,false,false
8600000US00687,00687,ZCTA5 00687,32609,*****,false,false,false
8600000US00688,00688,ZCTA5 00688,13340,972,false,false,false
8600000US00690,00690,ZCTA5 00690,6299,897,false,false,false
8600000US00692,00692,ZCTA5 00692,37618,684,false,false,false
8600000US00693,00693,ZCTA5 00693,60211,738,false,false,false
8600000US00694,00694,ZCTA5 00694,157,92,false,false,false
8600000US00698,00698,ZCTA5 00698,41179,61,false,false,false
8600000US00703,00703,ZCTA5 00703,29153,612,false,false,false
8600000US00704,00704,ZCTA5 00704,7867,859,false,false,false
8600000US00705,00705,ZCTA5 00705,25373,247,false,false,false
8600000US00707,00707,ZCTA5 00707,12070,*****,false,false,false
8600000US00714,00714,ZCTA5 00714,19443,*****,false,false,false
8600000US00715,00715,ZCTA5 00715,4315,774,false,false,false
8600000US00716,00716,ZCTA5 00716,32180,1515,false,false,false
8600000US00717,00717,ZCTA5 00717,17972,1016,false,false,false
8600000US00718,00718,ZCTA5 00718,26767,99,false,false,false
8600000US00719,00719,ZCTA5 00719,30793,338,false,false,false
8600000US00720,00720,ZCTA5 00720,23080,239,false,false,false
8600000US00723,00723,ZCTA5 00723,19017,*****,false,false,false
8600000US00725,00725,ZCTA5 00725,90206,2160,false,false,false
8600000US00727,00727,ZCTA5 00727,56972,1983,false,false,false
8600000US00728,00728,ZCTA5 00728,42692,1661,false,false,false
8600000US00729,00729,ZCTA5 00729,54768,714,false,false,false
8600000US00730,00730,ZCTA5 00730,37931,1716,false,false,false
8600000US00731,00731,ZCTA5 00731,14525,1151,false,false,false
8600000US00735,00735,ZCTA5 00735,13495,101,false,false,false
8600000US00736,00736,ZCTA5 00736,51576,692,false,false,false
8600000US00738,00738,ZCTA5 00738,34492,442,false,false,false
8600000US00739,00739,ZCTA5 00739,38673,652,false,false,false
8600000US00740,00740,ZCTA5 00740,1760,442,false,false,false
8600000US00741,00741,ZCTA5 00741,5025,601,false,false,false
8600000US00745,00745,ZCTA5 00745,54681,274,false,false,false
8600000US00751,00751,ZCTA5 00751,23430,787,false,false,false
8600000US00754,00754,ZCTA5 00754,40330,274,false,false,false
8600000US00757,00757,ZCTA5 00757,23231,*****,false,false,false
8600000US00765,00765,ZCTA5 00765,9206,74,false,false,false
8600000US00766,00766,ZCTA5 00766,25991,176,false,false,false
8600000US00767,00767,ZCTA5 00767,37442,60,false,false,false
8600000US00769,00769,ZCTA5 00769,40026,322,false,false,false
8600000US00771,00771,ZCTA5 00771,38504,188,false,false,false
8600000US00772,00772,ZCTA5 00772,21712,568,false,false,false
8600000US00773,00773,ZCTA5 00773,19918,*****,false,false,false
8600000US00775,00775,ZCTA5 00775,1478,290,false,false,false
8600000US00777,00777,ZCTA5 00777,40892,304,false,false,false
8600000US00778,00778,ZCTA5 00778,46109,270,false,false,false
8600000US00780,00780,ZCTA5 00780,13418,1138,false,false,false
8600000US00782,00782,ZCTA5 00782,18504,496,false,false,false
8600000US00783,00783,ZCTA5 00783,36466,325,false,false,false
8600000US00784,00784,ZCTA5 00784,43746,315,false,false,false
8600000US00786,00786,ZCTA5 00786,335,147,false,false,false
8600000US00791,00791,ZCTA5 00791,52760,604,false,false,false
8600000US00794,00794,ZCTA5 00794,30688,277,false,false,false
8600000US00795,00795,ZCTA5 00795,47580,529,false,false,false
8600000US00901,00901,ZCTA5 00901,6444,479,false,false,false
8600000US00906,00906,ZCTA5 00906,36,35,false,false,false
8600000US00907,00907,ZCTA5 00907,17696,1074,false,false,false
8600000US00909,00909,ZCTA5 00909,5910,683,false,false,false
8600000US00911,00911,ZCTA5 00911,7595,718,false,false,false
8600000US00912,00912,ZCTA5 00912,6541,743,false,false,false
8600000US00913,00913,ZCTA5 00913,8255,836,false,false,false
8600000US00915,00915,ZCTA5 00915,31812,1613,false,false,false
8600000US00917,00917,ZCTA5 00917,20557,1236,false,false,false
8600000US00918,00918,ZCTA5 00918,16472,1309,false,false,false
8600000US00920,00920,ZCTA5 00920,18540,1078,false,false,false
8600000US00921,00921,ZCTA5 00921,38077,1586,false,false,false
8600000US00923,00923,ZCTA5 00923,28618,1611,false,false,false
8600000US00924,00924,ZCTA5 00924,58061,2330,false,false,false
8600000US00925,00925,ZCTA5 00925,6877,728,false,false,false
8600000US00926,00926,ZCTA5 00926,107139,2996,false,false,false
8600000US00927,00927,ZCTA5 00927,15340,1063,false,false,false
8600000US00934,00934,ZCTA5 00934,245,177,false,false,false
8600000US00936,00936,ZCTA5 00936,1151,382,false,false,false
8600000US00949,00949,ZCTA5 00949,81758,1130,false,false,false
8600000US00950,00950,ZCTA5 00950,0,13,false,false,false
8600000US00951,00951,ZCTA5 00951,16,13,false,false,false
8600000US00952,00952,ZCTA5 00952,9611,943,false,false,false
8600000US00953,00953,ZCTA5 00953,73236,596,false,false,false
8600000US00956,00956,ZCTA5 00956,77151,1940,false,false,false
8600000US00957,00957,ZCTA5 00957,46252,1580,false,false,false
8600000US00959,00959,ZCTA5 00959,48495,1661,false,false,false
8600000US00960,00960,ZCTA5 00960,1496,329,false,false,false
8600000US00961,00961,ZCTA5 00961,32691,1403,false,false,false
8600000US00962,00962,ZCTA5 00962,21717,572,false,false,false
8600000US00965,00965,ZCTA5 00965,8988,700,false,false,false
8600000US00966,00966,ZCTA5 00966,16371,956,false,false,false
8600000US00968,00968,ZCTA5 00968,3532,413,false,false,false
8600000US00969,00969,ZCTA5 00969,42756,1777,false,false,false
